anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;1;15/03/2026;SPORTIVO PILAR A;64;PLATENSE A;62
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;1;15/03/2026;EL TALAR;74;SPORTIVO ESCOBAR;66
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;1;15/03/2026;CAZA Y PESCA A;97;PRESIDENTE DERQUI;74
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;1;15/03/2026;SAN FERNANDO A;72;CLUB ATLETICO PILAR;94
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;2;22/03/2026;SAN FERNANDO A;61;SPORTIVO PILAR A;71
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;2;22/03/2026;CLUB ATLETICO PILAR;71;CAZA Y PESCA A;89
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;2;22/03/2026;PRESIDENTE DERQUI;49;EL TALAR;41
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;2;22/03/2026;SPORTIVO ESCOBAR;77;PLATENSE A;69
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;3;29/03/2026;SPORTIVO PILAR A;81;SPORTIVO ESCOBAR;58
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;3;29/03/2026;PLATENSE A;69;PRESIDENTE DERQUI;68
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;3;29/03/2026;EL TALAR;74;CLUB ATLETICO PILAR;83
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;3;29/03/2026;CAZA Y PESCA A;83;SAN FERNANDO A;75
2026;LIGA PROXIMO MASCULINO;Fase Regular;Torneo Clasificacion;CLASIFICACION;NORTE;1A;4;12/04/2026;CAZA Y PESCA A;94;SPORTIVO PILAR A;95
