anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,BP_LOCAL,BP_VISITA,ORP_LOCAL,ORP_VISITA,peso_nivel,peso_anio,peso_ronda,peso_fase,LocalSuma,VisitaSuma
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,GEBA-FERROCARRIL OESTE C,1,8/12/2024,GEBA,97,FERROCARRIL OESTE C,45,750,250,-44.25,6.75,0.85,1,4,0.75,1799.6625,654.7125
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,COPELLO-PINOCHO BLANCO,1,8/12/2024,COPELLO,74,PINOCHO BLANCO,46,750,250,24.75,-0.75,0.85,1,4,0.75,1975.6125,635.5875
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,ESTRELLA DE BOEDO-ARGENTINOS JUNIORS,1,8/12/2024,ESTRELLA DE BOEDO,65,ARGENTINOS JUNIORS,59,650,350,-15.75,-63.75,0.85,1,4,0.75,1617.3374999999999,729.9375
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,CIUDAD DE BUENOS AIRES B-VELEZ SARSFIELD AZUL,1,8/12/2024,CIUDAD DE BUENOS AIRES B,72,VELEZ SARSFIELD AZUL,52,750,250,-54.75,50.25,0.85,1,4,0.75,1772.8874999999998,765.6374999999999
2024,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,GEBA-COPELLO,1,15/12/2024,GEBA,67,COPELLO,62,650,350,-0.75,6.75,0.85,1,6,0.75,2483.38125,1364.56875
2024,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,CIUDAD DE BUENOS AIRES B-ESTRELLA DE BOEDO,1,15/12/2024,CIUDAD DE BUENOS AIRES B,66,ESTRELLA DE BOEDO,60,650,350,-63.75,50.25,0.85,1,6,0.75,2242.40625,1530.95625
2024,JUVENILES,Playoff,FINAL,2,CENTRO,GEBA-CIUDAD DE BUENOS AIRES B,1,22/12/2024,GEBA,74,CIUDAD DE BUENOS AIRES B,51,750,250,50.25,6.75,0.85,1,6,0.75,3060.9562499999997,982.0687499999999
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,CIRCULO URQUIZA AZUL-CLUB SOCIAL Y DEPORTIVO ARENAL,1,8/12/2024,CIRCULO URQUIZA AZUL,63,CLUB SOCIAL Y DEPORTIVO ARENAL,45,700,300,-137.25,-21.75,0.85,1,4,0.75,1435.0124999999998,709.5374999999999
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,COOPERATIVA TORTUGUITAS-YUPANQUI,1,8/12/2024,COOPERATIVA TORTUGUITAS,72,YUPANQUI,58,700,300,-26.25,-8.25,0.85,1,4,0.75,1718.0624999999998,743.9625
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,ARMENIA-HEBRAICA,1,8/12/2024,ARMENIA,42,HEBRAICA,70,250,750,93.75,26.25,0.85,1,4,0.75,876.5624999999999,1979.4374999999998
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,CENTRO,U.V.V.ADELINA-CLUB TRES DE FEBRERO AZUL,1,8/12/2024,U.V.V.ADELINA,76,CLUB TRES DE FEBRERO AZUL,42,750,250,29.25,75.75,0.85,1,4,0.75,1987.0874999999999,830.6624999999999
2024,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,CIRCULO URQUIZA AZUL-COOPERATIVA TORTUGUITAS,1,15/12/2024,CIRCULO URQUIZA AZUL,51,COOPERATIVA TORTUGUITAS,45,650,350,-8.25,-21.75,0.85,1,6,0.75,2454.69375,1255.5562499999999
2024,JUVENILES,Playoff,SEMIFINAL,2,CENTRO,U.V.V.ADELINA-HEBRAICA,1,15/12/2024,U.V.V.ADELINA,71,HEBRAICA,66,650,350,93.75,75.75,0.85,1,6,0.75,2844.84375,1628.4937499999999
2024,JUVENILES,Playoff,FINAL,2,CENTRO,CIRCULO URQUIZA AZUL-U.V.V.ADELINA,1,22/12/2024,CIRCULO URQUIZA AZUL,51,U.V.V.ADELINA,48,650,350,75.75,-21.75,0.85,1,6,0.75,2775.9937499999996,1255.5562499999999
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,SUR,VILLEGAS BASQUET-GUILLON BASQUET,1,8/12/2024,VILLEGAS BASQUET,69,GUILLON BASQUET,40,750,250,-33.75,18.75,0.85,1,4,0.75,1826.4374999999998,685.3125
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,SUR,G.E DE LOMAS DE ZAMORA B-JUVENTUD UNIDA,1,8/12/2024,G.E DE LOMAS DE ZAMORA B,88,JUVENTUD UNIDA,58,750,250,-50.25,-23.25,0.85,1,4,0.75,1784.3625,578.2125
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,SUR,LUZ Y ARTE-CLUB SOCIAL EZEIZA,1,8/12/2024,LUZ Y ARTE,61,CLUB SOCIAL EZEIZA,69,350,650,-48.75,-93.75,0.85,1,4,0.75,768.1875,1418.4375
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,SUR,COUNTRY BANFIELD-COLON FC,1,8/12/2024,COUNTRY BANFIELD A,66,COLON FC,55,700,300,-42.75,20.25,0.85,1,4,0.75,1675.9875,816.6374999999999
2024,JUVENILES,Playoff,SEMIFINAL,2,SUR,VILLEGAS BASQUET-G.E DE LOMAS DE ZAMORA B,1,15/12/2024,VILLEGAS BASQUET,53,G.E DE LOMAS DE ZAMORA B,61,350,650,-23.25,18.75,0.85,1,6,0.75,1249.81875,2557.96875
2024,JUVENILES,Playoff,SEMIFINAL,2,SUR,COUNTRY BANFIELD-CLUB SOCIAL EZEIZA,1,15/12/2024,COUNTRY BANFIELD A,77,CLUB SOCIAL EZEIZA,69,650,350,-48.75,20.25,0.85,1,6,0.75,2299.78125,1416.20625
2024,JUVENILES,Playoff,FINAL,2,SUR,G.E DE LOMAS DE ZAMORA B-COUNTRY BANFIELD,1,22/12/2024,G.E DE LOMAS DE ZAMORA B,69,COUNTRY BANFIELD A,40,750,250,20.25,-23.25,0.85,1,6,0.75,2946.2062499999997,867.3187499999999
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,OESTE,UNITARIOS DE MARCOS PAZ-EL PALOMAR,1,8/12/2024,UNITARIOS DE MARCOS PAZ,76,EL PALOMAR,44,750,250,-2.25,41.25,0.85,1,4,0.75,1906.7624999999998,742.6875
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,OESTE,SITAS-CLUB PORTUGUES DEL GRAN BUENOS AIRES,1,8/12/2024,SITAS,76,CLUB PORTUGUES DEL GRAN BUENOS AIRES,70,650,350,-11.25,-39.75,0.85,1,4,0.75,1628.8125,791.1374999999999
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,OESTE,MORON B-Club GEI BLANCO,1,8/12/2024,MORON B,54,CLUB GEI BLANCO,39,700,300,-32.25,11.25,0.85,1,4,0.75,1702.7624999999998,793.6875
2024,JUVENILES,Playoff,CUARTOS DE FINAL,2,OESTE,CLUB CEPA-CIUDADELA NORTE,1,8/12/2024,CLUB CEPA,71,CIUDADELA NORTE,56,700,300,-51.75,-135.75,0.85,1,4,0.75,1653.0375,418.8375
2024,JUVENILES,Playoff,SEMIFINAL,2,OESTE,UNITARIOS DE MARCOS PAZ-SITAS,1,15/12/2024,UNITARIOS DE MARCOS PAZ,91,SITAS,53,750,250,-39.75,41.25,0.85,1,6,0.75,2716.7062499999997,1114.03125
2024,JUVENILES,Playoff,SEMIFINAL,2,OESTE,CLUB CEPA-MORON B,1,15/12/2024,CLUB CEPA,53,MORON B,45,650,350,11.25,-135.75,0.85,1,6,0.75,2529.28125,819.5062499999999
2024,JUVENILES,Playoff,FINAL,2,OESTE,UNITARIOS DE MARCOS PAZ-CLUB CEPA,1,22/12/2024,UNITARIOS DE MARCOS PAZ,59,CLUB CEPA,64,350,650,-135.75,41.25,0.85,1,6,0.75,819.5062499999999,2644.03125
2024,JUVENILES,Playoff,SEMIFINAL,1,SUR,RACING CLUB-LANUS B,1,8/12/2024,RACING CLUB,85,LANUS B,76,650,350,-12.75,107.25,1.0,1,6,0.75,2867.625,2057.625
2024,JUVENILES,Playoff,SEMIFINAL,1,SUR,CAÑUELAS FC-MONTE GRANDE,1,8/12/2024,CAÑUELAS FC,79,MONTE GRANDE,67,700,300,92.25,101.25,1.0,1,6,0.75,3565.125,1805.625
2024,JUVENILES,Playoff,FINAL,1,SUR,RACING CLUB-CAÑUELAS FC,1,14/12/2024,RACING CLUB,78,CAÑUELAS FC,80,350,650,101.25,107.25,1.0,1,6,0.75,2030.625,3407.625
2024,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA A,INTERCONFERENCIA,PINOCHO-WILDE SPORTING,1,1/12/2024,PINOCHO,77,WILDE SPORTING,55,750,250,134.25,140.25,2.0,1,4,1.0,7074.0,3122.0
2024,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA A,INTERCONFERENCIA,BOCA JUNIORS AZUL-ESTUDIANTIL PORTEÑO A,1,1/12/2024,BOCA JUNIORS AZUL,64,ESTUDIANTIL PORTEÑO A,73,350,650,137.25,153.75,2.0,1,4,1.0,3898.0,6430.0
2024,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA A,INTERCONFERENCIA,LANUS A-GEVP BLANCO,1,1/12/2024,LANUS A,90,GEVP BLANCO,59,750,250,149.25,152.25,2.0,1,4,1.0,7194.0,3218.0
2024,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA A,INTERCONFERENCIA,CLUB TRES DE FEBRERO BLANCO-FERROCARRIL OESTE A,1,1/12/2024,CLUB TRES DE FEBRERO BLANCO,64,FERROCARRIL OESTE A,80,300,700,155.25,143.25,2.0,1,4,1.0,3642.0,6746.0
2024,JUVENILES,Playoff,SEMIFINAL,INTERCONFERENCIA A,INTERCONFERENCIA,PINOCHO-ESTUDIANTIL PORTEÑO A,1,8/12/2024,PINOCHO,82,ESTUDIANTIL PORTEÑO A,68,700,300,137.25,140.25,2.0,1,6,1.0,10047.0,5283.0
2024,JUVENILES,Playoff,SEMIFINAL,INTERCONFERENCIA A,INTERCONFERENCIA,LANUS A-FERROCARRIL OESTE A,1,8/12/2024,LANUS A,54,FERROCARRIL OESTE A,79,250,750,155.25,152.25,2.0,1,6,1.0,4863.0,10827.0
2024,JUVENILES,Playoff,FINAL,INTERCONFERENCIA A,INTERCONFERENCIA,PINOCHO-FERROCARRIL OESTE A,1,15/12/2024,PINOCHO,51,FERROCARRIL OESTE A,62,300,700,155.25,140.25,2.0,1,6,1.0,5463.0,10083.0
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,SUR,RACING CLUB-TEMPERLEY,1,1/12/2024,RACING CLUB,74,TEMPERLEY,57,700,300,86.25,107.25,1.0,1,4,0.75,2358.75,1221.75
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,SUR,MONTE GRANDE-CLUB  SOCIAL  ALEJANDRO  KORN,1,1/12/2024,MONTE GRANDE,66,CLUB SOCIAL ALEJANDRO KORN,50,700,300,27.75,92.25,1.0,1,4,0.75,2183.25,1176.75
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,SUR,LANUS B-DEFENSORES DE BANFIELD,1,1/12/2024,LANUS B,82,DEFENSORES DE BANFIELD,65,700,300,38.25,-12.75,1.0,1,4,0.75,2214.75,861.75
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,SUR,CAÑUELAS FC-CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,1,1/12/2024,CAÑUELAS FC,79,CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,56,750,250,116.25,101.25,1.0,1,4,0.75,2598.75,1053.75
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,OESTE,A.F.A.L.P. A-DEFENSORES DE HURLINGHAM VERDE,1,1/12/2024,A.F.A.L.P. A,62,DEFENSORES DE HURLINGHAM VERDE,58,650,350,56.25,113.25,1.0,1,4,0.75,2118.75,1389.75
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,OESTE,PORTEÑO ATLETICO CLUB-NOLTING,1,1/12/2024,PORTEÑO ATLETICO CLUB,97,NOLTING,79,700,300,62.25,-17.25,1.0,1,4,0.75,2286.75,848.25
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,OESTE,SAN MIGUEL-LOS INDIOS DE MORENO BLANCO,1,1/12/2024,SAN MIGUEL,68,LOS INDIOS DE MORENO BLANCO,54,700,300,21.75,81.75,1.0,1,4,0.75,2165.25,1145.25
2024,JUVENILES,Playoff,CUARTOS DE FINAL,1,OESTE,HURACAN DE SAN JUSTO ROJO-MIDLAND,1,1/12/2024,HURACAN DE SAN JUSTO ROJO,99,MIDLAND,109,300,700,30.75,78.75,1.0,1,4,0.75,992.25,2336.25
2024,JUVENILES,Playoff,SEMIFINAL,1,OESTE,A.F.A.L.P. A-PORTEÑO ATLETICO CLUB,1,8/12/2024,A.F.A.L.P. A,62,PORTEÑO ATLETICO CLUB,54,650,350,-17.25,113.25,1.0,1,6,0.75,2847.375,2084.625
