Equipo,Puntos
FERROCARRIL OESTE A,151762.27500000002
BOCA JUNIORS AZUL,128663.6
GEVP BLANCO,121844.95625
LANUS A,118436.75
OBRAS CENTRO,110882.975
RIVER PLATE,109905.075
OBRAS NORTE,104944.8
G.E DE LOMAS DE ZAMORA A,100934.225
WILDE SPORTING,97295.7
ARGENTINO DE CASTELAR NORTE,91001.425
VELEZ SARSFIELD BLANCO,87160.2
SAN FERNANDO AZUL,86318.55
CIUDAD DE BUENOS AIRES A,86246.82500000001
C.A.S.A PADUA A,85194.65000000001
INSTITUCION SARMIENTO VERDE,82901.375
LOS INDIOS DE MORENO NEGRO,81715.35
ESTUDIANTIL PORTEÑO A,79961.85
CAZA Y PESCA A,79878.3
CLUB TRES DE FEBRERO BLANCO,78534.65
PINOCHO,78185.8625
QUILMES A.C.,75819.525
MORON A,69029.15
SAN LORENZO AZUL,67919.025
CLUB GEI AZUL,64638.637500000004
A.F.A.L.P. A,64547.5125
PEDRO ECHAGUE AZUL,63577.225
RACING CLUB,63130.075
CAÑUELAS FC,61921.0625
INDEPENDIENTE,59209.25
PRESIDENTE DERQUI,59119.869999999995
IMPERIO BLANCO,58686.5375
FERROCARRIL OESTE B,56068.48625
VICTORIA,54427.754375
TRISTAN SUAREZ,54195.131250000006
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,53634.065
COLEGIALES BLANCO,53283.55
BERAZATEGUI,53124.4125
U.V.V.ADELINA,52093.0875
PLATENSE MARRON,51147.86875
RAMOS MEJIA LTC,51139.8375
SPORTIVO ESCOBAR,50940.545
UNION FLORIDA,50861.35
HURACAN DE SAN JUSTO ROJO,50700.412500000006
HEBRAICA,50069.916874999995
DEPORTIVO SAN ANDRES,50056.65
ITALIANO,49935.39375
UNIVERSIDAD DE BUENOS AIRES,49787.725000000006
SAN MIGUEL,49738.283125
NAUTICO HACOAJ BLANCO,49378.9375
TEMPERLEY,49371.5125
ARQUITECTURA NEGRO,48813.49
17 DE AGOSTO,48643.951875
NAUTICO BUCHARDO A,48430.51625
ARGENTINO DE CASTELAR CENTRO,48173.08375
APV,47703.79375
JOSE HERNANDEZ A,47679.40625
COMUNICACIONES,47661.03375
EL TALAR,47161.405
CLARIDAD,47055.31125
MONTE GRANDE,46089.325000000004
ATLETICO BOULOGNE,45128.412500000006
BANADE,44358.86125
UNION VECINAL DE MUNRO,44239.850625
DEFENSORES DE BANFIELD,44121.789375
HARRODS GATH Y CHAVES,43720.693125
VARELA JRS,43257.345
BANCO NACIÓN,43129.1625
VILLA MITRE,42786.912500000006
NOLTING,42637.625
GEVP CELESTE,42275.45
"DEPORTIVO CROVARA  ""A""",41897.3625
OLIMPO,41848.4825
BURZACO FC A,41339.68625
SOCIAL BECCAR,41141.955
MIDLAND,41054.240000000005
ARMENIA,40787.3775
CIUDAD DE BUENOS AIRES B,40514.440625
