Equipo,Puntos
FERROCARRIL OESTE A,105671.65000000001
GEVP BLANCO,90977.3
BOCA JUNIORS AZUL,85047.35
OBRAS NORTE,82399.8
OBRAS CENTRO,82296.1
WILDE SPORTING,80723.2
G.E DE LOMAS DE ZAMORA A,74562.35
ARGENTINO DE CASTELAR NORTE,73698.3
LANUS A,72315.5
RIVER PLATE,70645.7
VELEZ SARSFIELD BLANCO,70140.2
SAN FERNANDO AZUL,70099.8
INSTITUCION SARMIENTO VERDE,66724.5
C.A.S.A PADUA A,64838.40000000001
CIUDAD DE BUENOS AIRES A,60754.950000000004
CAZA Y PESCA A,60278.3
PRESIDENTE DERQUI,59119.869999999995
PINOCHO,58766.4875
CLUB TRES DE FEBRERO BLANCO,58537.774999999994
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,53634.065
QUILMES A.C.,51095.15
SPORTIVO ESCOBAR,50940.545
CLUB GEI AZUL,50545.512500000004
ESTUDIANTIL PORTEÑO A,50528.725
MORON A,47629.775
LOS INDIOS DE MORENO NEGRO,45319.1
CAÑUELAS FC,44571.6875
SAN LORENZO AZUL,42534.65
IMPERIO BLANCO,41563.4125
VICTORIA,40938.629375
SAN MIGUEL,40408.751875
17 DE AGOSTO,39664.608125
TRISTAN SUAREZ,39477.350000000006
RACING CLUB,39471.95
ITALIANO,38936.8625
INDEPENDIENTE,38287.375
ARGENTINO DE CASTELAR CENTRO,37005.365
A.F.A.L.P. A,36550.0125
PLATENSE MARRON,35682.275
BERAZATEGUI,35630.0375
COLEGIALES BLANCO,35593.55
PEDRO ECHAGUE AZUL,35296.6
EL TALAR,35239.93625
ARQUITECTURA NEGRO,35143.49
UNION FLORIDA,35074.225
CLARIDAD,34429.2175
COMUNICACIONES,34387.44
CLUB SPORTIVO PILAR,34032.57
HARRODS GATH Y CHAVES,33471.693125
FERROCARRIL OESTE B,33215.5175
RAMOS MEJIA LTC,32941.0875
HEBRAICA,32864.729374999995
VARELA JRS,32768.9075
HURACAN DE SAN JUSTO ROJO,31891.037500000002
TEMPERLEY,31848.387499999997
NOLTING,31838.875
UNION VECINAL DE MUNRO,31414.225625
ATLETICO BOULOGNE,31325.912500000002
MIDLAND,31259.9275
JOSE HERNANDEZ A,30836.9375
MONTE GRANDE,30816.825000000004
APV,30801.074999999997
U.V.V.ADELINA,30518.7125
UNIVERSIDAD DE BUENOS AIRES,30381.600000000002
LOS ANDES,30282.129999999997
GEVP CELESTE,30111.5125
NAUTICO BUCHARDO A,29762.985
COOPERARIOS,29572.878749999996
SOCIAL BECCAR,29372.955
PINOCHO BLANCO,28931.429375
NAUTICO HACOAJ BLANCO,28731.4375
CLUB SOCIAL ALEJANDRO KORN,28640.0325
PORTEÑO ATLETICO CLUB,28523.27375
CENTRO GALICIA,28388.53375
DEPORTIVO SAN ANDRES,28364.775
BURZACO FC A,28023.03
CLUB TRES DE FEBRERO AZUL,27980.211875
DEFENSORES DE BANFIELD,27947.883125
VILLA MITRE,27944.412500000002
MACABI,27711.200624999998
DEFENSORES DE HURLINGHAM VERDE,27229.3425
BANCO PROVINCIA,27181.2125
ARMENIA,26813.90875
VILLEGAS BASQUET,26649.199999999997
CIUDAD DE BUENOS AIRES B,26593.346875
BANADE,26524.58
"DEPORTIVO CROVARA  ""A""",26474.2375
GUILLON BASQUET,26432.446875
OLIMPO,26254.17
BANCO NACIÓN,26200.4125
UNLAM A,26181.710625
MORON B,25755.603750000002
LOBOS ATHLETIC CLUB,25231.838125
GEBA,25086.177499999998
BOCA JUNIORS AMARILLO,24812.6075
COPELLO,24726.756875
SPORTIVO VILLA BALLESTER,24661.489999999998
UNITARIOS DE MARCOS PAZ,24627.612500000003
CLUB SOCIAL EZEIZA,24565.490625
ALL BOYS BLANCO,24407.405
ESTUDIANTIL PORTEÑO B,24309.15
ITALIANO DE JOSE C PAZ,24250.484375
CLUB PORTUGUES DEL GRAN BUENOS AIRES,23838.71875
CLUB ATLETICO BERNAL,23394.997499999998
EL PALOMAR,23353.293124999997
LAS HERAS A,22615.2475
CIRCULO URQUIZA AZUL,22524.906875
SOCIAL LANUS,22364.275625000002
CAZA Y PESCA B,22039.96125
CEDEM,21997.625
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,21667.031875
LEANDRO N ALEM,21473.5625
DEP. MORON BLANCO,21377.5175
COUNTRY BANFIELD A,20913.427499999998
CLUB GEI BLANCO,20200.3275
INSTITUCION SARMIENTO BLANCO,20169.28
JUVENTUD UNIDA,20134.050000000003
DEFENSORES DE GLEW,20108.16
LANUS B,20064.565
ITALIANO B,19768.065000000002
CIUDADELA NORTE,19291.006875
G.E DE LOMAS DE ZAMORA B,19047.3275
DEFENSORES DE SANTOS LUGARES,18677.199375
COLON FC,18675.784375
C.A.S.A PADUA B,18559.027499999997
TAPONAZO  FUTBOL CLUB,18340.207499999997
VELEZ SARSFIELD AZUL,18078.6575
INDEPENDIENTE DE BURZACO,17879.38875
COLEGIALES NEGRO,17763.061875
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,17423.30625
COOPERATIVA TORTUGUITAS,17247.127500000002
YUPANQUI,16948.237500000003
PLATENSE BLANCO,16710.925625
SITAS,16675.636875
SAN LORENZO ROJO,16609.96875
IMPERIO NEGRO,16565.859375
LAS HERAS B,16471.09
CENTRO ESPAÑOL,16438.618125
LOS INDIOS DE MORENO BLANCO,16257.075
ESTRELLA DE BOEDO,16203.1875
VILLA ESPAÑA,16077.075
FERROCARRIL OESTE C,15589.845000000001
NAUTICO BUCHARDO B,15376.501250000001
MORENO DE QUILMES,15238.809375
ARGENTINOS JUNIORS,15184.89625
LA UNION,14869.237500000001
PINOCHO VERDE,14675.0625
HURACAN DE SAN JUSTO BLANCO,14251.378125
NAUTICO HACOAJ AZUL,14247.378125
MUNICIPALIDAD DE AVELLANEDA,14205.375
SPORTIVO ALSINA,14134.52125
CLUB 12 DE OCTUBRE,13937.373749999999
DEPORTIVO CROVARA B,13522.5
JOSE HERNANDEZ B,12726.703125
PEDRO ECHAGUE AMARILLO,12337.125
CLUB EL FOGON,12187.8
CLUB ATLETICO PAMPERO,11410.425000000001
RACING ANEXO,10160.634375000001
