Posicion;Tira;Pts_Aportados_INFANTILES;Pts_Aportados_CADETES;Pts_Aportados_JUVENILES;Pts_Aportados_LIGA_PROXIMO;Cantidad_Forfaits;Total_Penalizaciones;Total_Renivelacion
1;OBRAS SANITARIAS A;196552;180186;203595;183753;26;26000;738086
2;FERROCARRIL OESTE A;140225;127254;181356;198674;4;4000;643509
3;BOCA JUNIORS A;81284;187922;224701;128501;23;23000;599408
4;PINOCHO A;127450;153396;114139;211527;14;14000;592512
5;CAZA Y PESCA A;181488;114726;140414;111912;18;18000;530540
6;INSTITUCION SARMIENTO A;201145;155879;101937;84927;15;15000;528888
7;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA A;88160;138766;166987;113223;10;10000;497136
8;ESTUDIANTIL PORTEÑO A;136536;137965;101402;116259;5;5000;487162
9;CLUB TRES DE FEBRERO A;132427;157875;94095;95205;0;0;479602
10;RIVER PLATE;102016;82482;127379;147918;4;4000;455795
11;VELEZ SARSFIELD A;167724;95223;105906;87947;4;4000;452800
12;LANUS A;109874;106277;125934;131218;23;23000;450303
13;GEVP A;117076;101502;103063;127224;3;3000;445865
14;ARGENTINO DE CASTELAR A;119948;102084;128693;108790;18;18000;441515
15;PRESIDENTE DERQUI;129203;90828;143304;88629;11;11000;440964
16;MORON A;105139;99364;83783;123412;3;3000;408698
17;COMUNICACIONES A;74276;139834;124955;70339;8;8000;401404
18;LOS INDIOS DE MORENO A;108975;86518;69388;134034;6;6000;392915
19;SPORTIVO ESCOBAR;104576;77422;92299;98999;13;13000;360296
20;PEDRO ECHAGUE A;86982;101379;84702;88089;2;2000;359152
21;SPORTIVO PILAR A;75472;114931;87177;73553;6;6000;345133
22;QUILMES A.C.;99186;105686;85909;57267;14;14000;334048
23;CIUDAD DE BUENOS AIRES A;58322;109465;108923;64190;11;11000;329900
24;WILDE SPORTING;60889;95571;74175;97039;0;0;327674
25;CLARIDAD;55061;67282;88846;115253;7;7000;319442
26;TRISTAN SUAREZ;101859;69488;85957;62763;3;3000;317067
27;GIMNASIA Y ESGRIMA DE LA PLATA A;81865;89155;99649;70858;31;31000;310527
28;SAN LORENZO A;61176;66380;74916;124247;18;18000;308719
29;GIMNASIA Y ESGRIMA DE ITUZAINGO A;70665;85928;69965;91147;13;13000;304705
30;ARQUITECTURA A;84650;80951;75055;66206;5;5000;301862
31;CLUB ATLETICO PILAR;56261;76955;77329;108880;23;23000;296425
32;SOCIAL BECCAR A;55561;80526;76171;79722;8;8000;283980
33;TEMPERLEY;60986;74020;69586;81043;10;10000;275635
34;BURZACO FC A;61289;107731;63900;54256;17;17000;270176
35;C.A.S.A PADUA A;78474;68105;55140;73112;5;5000;269831
36;SAN FERNANDO A;57773;92229;63121;69584;15;15000;267707
37;ITALIANO A;67504;70519;75129;66432;18;18000;261584
38;PLATENSE A;70380;54409;79083;71152;21;21000;254024
39;VARELA JRS;64126;67047;62054;55680;9;9000;239907
40;DEP. MORON A;59787;45040;89350;41160;11;11000;224337
41;ATENEO POPULAR VERSAILLES;61607;47543;49334;60233;0;0;218717
42;EL TALAR;47796;47435;59189;64295;0;0;218715
43;CLUB SOCIAL ALEJANDRO KORN;89093;42405;41687;47727;3;3000;217912
44;MONTE GRANDE A;68695;70737;40271;43663;7;7000;216366
45;JOSE HERNANDEZ A;55798;53088;48868;62570;6;6000;214324
46;IMPERIO A;64524;76754;54015;54547;40;40000;209840
47;UNION FLORIDA;55518;56835;50294;47249;4;4000;205896
48;A.F.A.L.P. A;45296;50882;56312;56739;6;6000;203229
49;MIDLAND;54609;44196;43009;77952;20;20000;199766
50;BANADE A;64431;38938;52991;44028;2;2000;198388
51;BERAZATEGUI;45610;61470;41388;52335;4;4000;196803
52;HURACAN DE SAN JUSTO A;40630;75663;45674;56134;24;24000;194101
53;NAUTICO HACOAJ A;51872;41210;38570;57237;4;4000;184889
54;SAN MIGUEL B;57654;38611;44686;44611;2;2000;183562
55;VILLA MITRE;48282;44218;46311;43528;6;6000;176339
56;UNION VECINAL DE MUNRO;38656;41160;34338;64473;6;6000;172627
57;RACING CLUB;22964;40003;62992;76139;35;35000;167098
58;DEFENSORES DE HURLINGHAM A;49549;44790;43645;38918;13;13000;163902
59;CAÑUELAS FC;42199;37362;35639;51972;4;4000;163172
60;FERROCARRIL OESTE B;45151;46132;55285;35587;24;24000;158155
61;UNION VILLEGAS;52003;45682;40436;22625;5;5000;155746
62;PORTEÑO ATHLETIC CLUB A;77036;27080;22439;32664;7;7000;152219
63;INDEPENDIENTE A;20176;37153;31780;71552;10;10000;150661
64;VICTORIA A;42108;40903;46064;29426;9;9000;149501
65;LOS INDIOS DE MORENO B;40065;35737;44761;35619;10;10000;146182
66;OBRAS SANITARIAS B;41711;49051;41128;36776;25;25000;143666
67;GEVP B;31410;30138;48875;45055;19;19000;136478
68;ALL BOYS A;32077;32127;36393;43864;10;10000;134461
69;SPORTIVO VILLA BALLESTER;49198;31316;27635;29591;8;8000;129740
70;DEPORTIVO CROVARA A;34139;41145;31380;33856;12;12000;128520
71;OLIMPO A;47864;33874;26509;28190;8;8000;128437
72;LOBOS ATHLETIC CLUB;46967;35271;30771;22012;11;11000;124021
73;ARMENIA;32513;28148;37556;30000;7;7000;121217
74;LOS ANDES;29168;31840;37299;34379;17;17000;115686
75;HARRODS GATH Y CHAVES;32777;29770;28218;23833;4;4000;110598
76;BANCO PROVINCIA A;34129;43092;39723;32423;43;43000;106367
77;ATLETICO BOULOGNE A;29876;24388;46656;31926;28;28000;104846
78;PINOCHO B;26427;36091;26324;33918;20;20000;102760
79;CEDEM;35040;24639;28718;20555;7;7000;101952
80;DEPORTIVO SAN ANDRES;28630;29518;26730;35761;20;20000;100639
81;CLUB TRES DE FEBRERO B;21516;40820;26027;18528;9;9000;97891
82;BOCA JUNIORS B;18544;35279;30034;37188;24;24000;97045
83;INDEPENDIENTE DE BURZACO;30998;28828;23955;20175;8;8000;95956
84;BANCO NACION A;22586;26333;24299;33705;11;11000;95923
85;SAN MIGUEL A;32943;47200;35475;34338;55;55000;94956
86;CLUB ATLETICO BERNAL;33003;22266;28004;27530;17;17000;93803
87;COLEGIALES A;21673;27176;29928;29916;15;15000;93693
88;COUNTRY BANFIELD A;29780;21336;24806;19659;5;5000;90581
