Tira;Pts_Baseline_INFANTILES;Pts_Baseline_CADETES;Pts_Baseline_JUVENILES;Pts_Baseline_LIGA_PROXIMO;Total_Baseline
MORON A;3068.0;3612.375;3612.375;3547.375;13840
BOCA JUNIORS A;2765.425;3122.925;3122.925;3057.925;12069
FERROCARRIL OESTE A;2928.5750000000003;3188.5750000000003;3253.5750000000003;2573.35;11944
SPORTIVO PILAR A;3275.3500000000004;2397.8500000000004;3112.8500000000004;3047.8500000000004;11834
OBRAS SANITARIAS A;3149.25;3084.25;2889.25;2555.8;11679
LANUS A;2821.0;2918.5;2821.0;3113.5;11674
C.A.S.A PADUA A;3002.675;2937.675;2710.175;2905.175;11556
ITALIANO A;2813.2000000000003;2845.7;2528.5;3105.7000000000003;11293
IMPERIO A;3017.95;2757.95;2627.95;2725.45;11129
SAN LORENZO A;2757.95;2692.95;2985.45;2692.95;11129
GIMNASIA Y ESGRIMA DE LA PLATA A;2546.375;3098.875;3163.8750000000005;2221.375;11030
CLUB SOCIAL ALEJANDRO KORN;3057.925;2505.425;2505.425;2765.425;10834
CAZA Y PESCA A;2942.55;2617.55;2357.55;2812.55;10730
TRISTAN SUAREZ;2581.4750000000004;2873.9750000000004;2678.9750000000004;2516.4750000000004;10651
RIVER PLATE;2045.55;2533.05;3118.05;2890.55;10587
GEBA;2798.25;2213.25;2765.75;2765.75;10543
QUILMES A.C.;2728.375;3118.3750000000005;2305.875;2305.875;10458
NAUTICO BUCHARDO A;3065.4;2418.9750000000004;2418.9750000000004;2548.9750000000004;10452
VELEZ SARSFIELD A;3173.95;2411.175;2523.95;2326.35;10435
COMUNICACIONES A;2153.775;3096.275;2803.775;2348.775;10403
PEDRO ECHAGUE A;2561.0;2593.5;2561.0;2561.0;10276
CLUB TRES DE FEBRERO A;3051.75;2954.25;2824.25;1329.25;10160
CEDEM;2708.225;2448.225;2708.225;2285.7250000000004;10150
VICTORIA A;2707.575;2613.65;2548.65;2256.15;10126
BERAZATEGUI;2683.2;2358.2;2683.2;2358.2;10083
HARRODS GATH Y CHAVES;2409.875;2734.875;2442.375;2377.375;9964
EL PALOMAR;2756.0;1983.15;2600.65;2535.65;9875
CLUB CEPA;2109.25;2271.75;2759.25;2629.25;9770
CAÑUELAS FC;3073.8500000000004;1611.35;2196.3500000000004;2813.8500000000004;9695
PINOCHO A;2600.0;2632.5;2095.275;2340.0;9668
PRESIDENTE DERQUI;1933.75;2876.25;2746.25;2063.75;9620
MORENO DE QUILMES;2299.375;2526.875;2364.375;2331.875;9522
ARQUITECTURA A;2731.95;1951.95;2244.45;2504.45;9433
ESTUDIANTIL PORTEÑO A;2161.575;2096.575;2714.075;2324.075;9296
ATENEO POPULAR VERSAILLES;2016.625;2351.375;2309.125;2601.625;9279
VELEZ SARSFIELD B;2522.65;2457.65;2360.15;1872.65;9213
ITALIANO B;1612.65;2516.8;2581.8;2484.3;9196
CLUB ATENEO INGENIERO RAVER;2024.425;2739.425;2219.425;2185.625;9169
SPORTIVO HAEDO;2419.3;1789.125;2569.125;2309.125;9087
CIUDAD DE BUENOS AIRES A;2276.625;2309.125;2536.625;1951.625;9074
GIMNASIA Y ESGRIMA DE ITUZAINGO A;2298.075;2200.575;2265.575;2298.075;9062
