anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,diferencia,ganador,perdedor,is_forfeit,age_group,genero
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,GEBA-FERROCARRIL OESTE C,1,08/12/2024,GEBA,97,FERROCARRIL OESTE C,45,52,GEBA,FERROCARRIL OESTE C,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,COPELLO-PINOCHO BLANCO,1,08/12/2024,COLEGIO COPELLO,74,PINOCHO BLANCO,46,28,COLEGIO COPELLO,PINOCHO BLANCO,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,ESTRELLA DE BOEDO-ARGENTINOS JUNIORS,1,08/12/2024,ESTRELLA DE BOEDO,65,ARGENTINOS JUNIORS,59,6,ESTRELLA DE BOEDO,ARGENTINOS JUNIORS,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,CIUDAD DE BUENOS AIRES B-VELEZ SARSFIELD AZUL,1,08/12/2024,CIUDAD DE BUENOS AIRES B,72,VELEZ SARSFIELD AZUL,52,20,CIUDAD DE BUENOS AIRES B,VELEZ SARSFIELD AZUL,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,CENTRO,GEBA-COPELLO,1,15/12/2024,GEBA,67,COLEGIO COPELLO,62,5,GEBA,COLEGIO COPELLO,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,CENTRO,CIUDAD DE BUENOS AIRES B-ESTRELLA DE BOEDO,1,15/12/2024,CIUDAD DE BUENOS AIRES B,66,ESTRELLA DE BOEDO,60,6,CIUDAD DE BUENOS AIRES B,ESTRELLA DE BOEDO,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,CENTRO,GEBA-CIUDAD DE BUENOS AIRES B,1,22/12/2024,GEBA,74,CIUDAD DE BUENOS AIRES B,51,23,GEBA,CIUDAD DE BUENOS AIRES B,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,CIRCULO URQUIZA AZUL-CLUB SOCIAL Y DEPORTIVO ARENAL,1,08/12/2024,CIRCULO URQUIZA A,63,CLUB SOCIAL Y DEPORTIVO ARENAL,45,18,CIRCULO URQUIZA A,CLUB SOCIAL Y DEPORTIVO ARENAL,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,COOPERATIVA TORTUGUITAS-YUPANQUI,1,08/12/2024,COOPERATIVA TORTUGUITAS,72,YUPANQUI,58,14,COOPERATIVA TORTUGUITAS,YUPANQUI,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,ARMENIA-HEBRAICA,1,08/12/2024,ARMENIA,42,HEBRAICA,70,28,HEBRAICA,ARMENIA,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,CENTRO,U.V.V.ADELINA-CLUB TRES DE FEBRERO AZUL,1,08/12/2024,U.V.V.ADELINA,76,CLUB TRES DE FEBRERO B,42,34,U.V.V.ADELINA,CLUB TRES DE FEBRERO B,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,CENTRO,CIRCULO URQUIZA AZUL-COOPERATIVA TORTUGUITAS,1,15/12/2024,CIRCULO URQUIZA A,51,COOPERATIVA TORTUGUITAS,45,6,CIRCULO URQUIZA A,COOPERATIVA TORTUGUITAS,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,CENTRO,U.V.V.ADELINA-HEBRAICA,1,15/12/2024,U.V.V.ADELINA,71,HEBRAICA,66,5,U.V.V.ADELINA,HEBRAICA,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,CENTRO,CIRCULO URQUIZA AZUL-U.V.V.ADELINA,1,22/12/2024,CIRCULO URQUIZA A,51,U.V.V.ADELINA,48,3,CIRCULO URQUIZA A,U.V.V.ADELINA,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,SUR,VILLEGAS BASQUET-GUILLON BASQUET,1,08/12/2024,VILLEGAS BASQUET,69,GUILLON BASQUET,40,29,VILLEGAS BASQUET,GUILLON BASQUET,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,SUR,G.E DE LOMAS DE ZAMORA B-JUVENTUD UNIDA,1,08/12/2024,G.E DE LOMAS DE ZAMORA B,88,JUVENTUD UNIDA,58,30,G.E DE LOMAS DE ZAMORA B,JUVENTUD UNIDA,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,SUR,LUZ Y ARTE-CLUB SOCIAL EZEIZA,1,08/12/2024,LUZ Y ARTE,61,CLUB SOCIAL EZEIZA,69,8,CLUB SOCIAL EZEIZA,LUZ Y ARTE,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,SUR,COUNTRY BANFIELD-COLON FC,1,08/12/2024,COUNTRY BANFIELD A,66,COLON FC,55,11,COUNTRY BANFIELD A,COLON FC,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,VILLEGAS BASQUET-G.E DE LOMAS DE ZAMORA B,1,15/12/2024,VILLEGAS BASQUET,53,G.E DE LOMAS DE ZAMORA B,61,8,G.E DE LOMAS DE ZAMORA B,VILLEGAS BASQUET,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,COUNTRY BANFIELD-CLUB SOCIAL EZEIZA,1,15/12/2024,COUNTRY BANFIELD A,77,CLUB SOCIAL EZEIZA,69,8,COUNTRY BANFIELD A,CLUB SOCIAL EZEIZA,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,SUR,G.E DE LOMAS DE ZAMORA B-COUNTRY BANFIELD,1,22/12/2024,G.E DE LOMAS DE ZAMORA B,69,COUNTRY BANFIELD A,40,29,G.E DE LOMAS DE ZAMORA B,COUNTRY BANFIELD A,False,LIGA PROXIMO MASCULINO,MASCULINO
2024,LIGA PROXIMO MASCULINO,Playoff,CUARTOS DE FINAL,2,OESTE,UNITARIOS DE MARCOS PAZ-EL PALOMAR,1,08/12/2024,UNITARIOS DE MARCOS PAZ,76,EL PALOMAR,44,32,UNITARIOS DE MARCOS PAZ,EL PALOMAR,False,LIGA PROXIMO MASCULINO,MASCULINO
