Tira;Pts_Aportados_INFANTILES;Pts_Aportados_CADETES;Pts_Aportados_JUVENILES;Pts_Aportados_LIGA_PROXIMO;Cantidad_Forfaits;Total_Penalizaciones;Total_Renivelacion
OBRAS SANITARIAS A;188496;172280;195989;176197;26;26000;706962
FERROCARRIL OESTE A;132863;119092;172994;191458;4;4000;612407
BOCA JUNIORS A;74232;179870;216649;120549;21;21000;570299
PINOCHO A;119506;145752;106495;204333;14;14000;562086
INSTITUCION SARMIENTO A;196316;150700;95708;79198;15;15000;506923
CAZA Y PESCA A;173428;107666;134554;104302;17;17000;502950
GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA A;82700;132756;160327;106113;9;9000;472896
ESTUDIANTIL PORTEÑO A;130688;132217;94754;110411;4;4000;464070
CLUB TRES DE FEBRERO A;124996;150594;87264;91724;0;0;454578
RIVER PLATE;96546;76162;119409;140198;4;4000;428314
VELEZ SARSFIELD A;160486;88635;99194;80885;4;4000;425200
GEVP A;110092;96968;96479;120640;1;1000;423179
LANUS A;102393;98946;118703;123187;23;23000;420228
ARGENTINO DE CASTELAR A;112591;94827;122036;104083;14;14000;419537
PRESIDENTE DERQUI;123817;83142;136218;82893;11;11000;415070
LOS INDIOS DE MORENO A;104578;82671;65441;129637;5;5000;377327
MORON A;97297;91472;75891;115620;3;3000;377280
COMUNICACIONES A;67198;131106;116827;63861;7;7000;371992
SPORTIVO ESCOBAR;97708;73104;85081;93781;11;11000;338674
PEDRO ECHAGUE A;79668;93765;77938;80875;2;2000;330246
SPORTIVO PILAR A;67096;108455;80351;66527;6;6000;316429
QUILMES A.C.;93564;98514;80387;52295;12;12000;312761
WILDE SPORTING;55433;91615;68769;92183;0;0;308000
CIUDAD DE BUENOS AIRES A;52510;103303;102311;58578;9;9000;307702
CLARIDAD;50895;63316;83630;109137;7;7000;299978
TRISTAN SUAREZ;95537;62766;79485;56741;3;3000;291529
GIMNASIA Y ESGRIMA DE LA PLATA A;75070;81160;91604;64813;30;30000;282648
SAN LORENZO A;54590;59494;67530;118011;18;18000;281624
GIMNASIA Y ESGRIMA DE ITUZAINGO A;64752;80265;64202;85234;13;13000;281453
ARQUITECTURA A;78392;76093;69397;59548;4;4000;279431
CLUB ATLETICO PILAR;52252;70946;72970;102521;20;20000;278690
SOCIAL BECCAR A;52084;75549;70544;74195;6;6000;266372
TEMPERLEY;55772;68156;64972;75979;7;7000;257879
SAN FERNANDO A;52217;87323;56965;65078;6;6000;255582
BURZACO FC A;54790;103182;58037;47907;16;16000;247916
C.A.S.A PADUA A;71334;61165;48500;66572;5;5000;242571
ITALIANO A;60874;63339;67199;58452;17;17000;232864
PLATENSE A;65020;47399;72973;65542;21;21000;229935
VARELA JRS;60580;60701;57558;52384;9;9000;222224
DEP. MORON A;55695;40248;85508;35918;8;8000;209370
EL TALAR;42951;42440;54344;57900;0;0;197634
MONTE GRANDE A;63185;66177;34961;39153;7;7000;196476
ATENEO POPULAR VERSAILLES;56637;41123;43128;53427;0;0;194315
JOSE HERNANDEZ A;50038;48128;44058;56010;5;5000;193233
A.F.A.L.P. A;42421;47557;53387;53714;5;5000;192080
CLUB SOCIAL ALEJANDRO KORN;81285;36247;35229;40769;3;3000;190531
UNION FLORIDA;51594;50361;45420;41825;2;2000;187199
MIDLAND;48807;39794;38857;70750;16;16000;182208
IMPERIO A;56820;69850;47661;47493;40;40000;181825
BANADE A;58451;33908;49411;38698;2;2000;178468
HURACAN DE SAN JUSTO A;37308;68691;40302;52762;23;23000;176062
BERAZATEGUI;38736;55496;34614;46111;4;4000;170958
SAN MIGUEL B;52494;34051;39376;40351;1;1000;165271
NAUTICO HACOAJ A;45126;36414;32724;51341;4;4000;161605
VILLA MITRE;41413;38849;40542;39059;6;6000;153863
UNION VECINAL DE MUNRO;32960;37964;30042;57777;5;5000;153744
RACING CLUB;19698;33487;56726;69873;30;30000;149784
OBRAS SANITARIAS B;41711;49051;41128;36776;25;25000;143667
DEFENSORES DE HURLINGHAM A;43113;40004;38459;33982;12;12000;143558
CAÑUELAS FC;34849;33612;29689;45222;4;4000;139372
UNION VILLEGAS;47220;40999;36553;19492;5;5000;139265
FERROCARRIL OESTE B;38905;40536;49439;30941;22;22000;137820
PORTEÑO ATHLETIC CLUB A;71304;21198;17907;28382;6;6000;132790
LOS INDIOS DE MORENO B;35600;30422;39746;32404;7;7000;131171
INDEPENDIENTE A;14474;33501;27528;65600;10;10000;131104
VICTORIA A;35292;34732;39443;23805;9;9000;124273
GEVP B;27919;25547;44084;40764;19;19000;119314
ALL BOYS A;28045;28095;31311;38632;10;10000;116082
SPORTIVO VILLA BALLESTER;44066;26734;23853;25559;7;7000;113211
OLIMPO A;43686;30296;21681;24062;7;7000;112724
SAN MIGUEL A;31741;45098;33523;32286;31;31000;111648
DEPORTIVO CROVARA A;28969;36375;26610;30336;12;12000;110290
LOBOS ATHLETIC CLUB;43692;27746;25446;16687;7;7000;106570
ARMENIA;28078;23063;33221;25965;4;4000;106326
LOS ANDES;23688;26510;34380;29799;17;17000;97377
ATLETICO BOULOGNE A;24790;22302;43470;28040;27;27000;91602
PINOCHO B;22509;32273;22006;29683;18;18000;88471
BANCO PROVINCIA A;29097;38210;33691;26841;43;43000;84839
HARRODS GATH Y CHAVES;26255;22748;21646;17361;4;4000;84010
CLUB TRES DE FEBRERO B;17634;36038;21045;14946;9;9000;80663
BOCA JUNIORS B;14527;31012;25867;32421;24;24000;79828
ARGENTINO DE CASTELAR B;23216;26909;46523;29287;47;47000;78935
COUNTRY BANFIELD A;25130;17986;20606;15709;2;2000;77432
DEPORTIVO SAN ANDRES;22446;22884;22496;29427;20;20000;77252
CEDEM;28545;18494;21723;14860;7;7000;76623
BANCO NACION A;16837;21434;18550;28706;9;9000;76527
INDEPENDIENTE DE BURZACO;24686;24016;18893;15013;7;7000;75608
CLUB ATLETICO BERNAL;27439;17152;22790;22066;15;15000;74447
COLEGIALES A;17471;21174;24276;23414;14;14000;72335
CIUDAD DE BUENOS AIRES B;16990;15973;17502;27465;7;7000;70931
ESTRELLA DE BOEDO;20400;23101;21072;19012;14;14000;69585
LAS HERAS A;18263;13288;17376;28938;9;9000;68865
CLUB SOCIAL EZEIZA;17478;20580;18822;24951;13;13000;68831
CAZA Y PESCA B;21628;20923;24244;19307;18;18000;68101
VELEZ SARSFIELD B;24057;23970;19652;16744;17;17000;67423
COPELLO;30120;20698;24921;20709;31;31000;65446
U.V.V.ADELINA;26707;15781;11417;16216;5;5000;65121
ARQUITECTURA B;16809;15441;15100;19945;4;4000;63295
NOLTING;19077;15907;28002;29817;31;31000;61804
NAUTICO BUCHARDO A;18579;20242;33630;22247;33;33000;61698
CENTRO GALICIA;24099;14655;14901;13236;7;7000;59891
RAMOS MEJIA LTC;19728;14069;22234;19806;18;18000;57837
INSTITUCION SARMIENTO B;21936;26963;21467;24067;38;38000;56434
JUVENTUD UNIDA;14570;17444;12652;10391;0;0;55057
LANUS B;15763;18419;20671;22469;23;23000;54322
DEFENSORES DE GLEW;18354;14572;14314;18796;12;12000;54036
ESTUDIANTIL PORTEÑO B;18147;26303;20151;20103;31;31000;53704
YUPANQUI;15340;13528;19268;17341;14;14000;51478
DEFENSORES DE SANTOS LUGARES;16386;15075;16022;12773;10;10000;50256
