Tira;Puntos;Posicion
OBRAS SANITARIAS A;495038;1
BOCA JUNIORS A;328357;2
PINOCHO A;318723;3
CAZA Y PESCA A;298305;4
VELEZ SARSFIELD A;295944;5
FERROCARRIL OESTE A;278966;6
LOS INDIOS DE MORENO A;246108;7
INSTITUCION SARMIENTO A;241214;8
COMUNICACIONES A;240686;9
GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA A;237299;10
RIVER PLATE;232306;11
ESTUDIANTIL PORTEÑO A;228855;12
PRESIDENTE DERQUI;221856;13
ARGENTINO DE CASTELAR A;202991;14
MORON A;202025;15
SPORTIVO ESCOBAR;201022;16
CLUB TRES DE FEBRERO A;200306;17
GEVP A;196044;18
SPORTIVO PILAR A;194371;19
PEDRO ECHAGUE A;190632;20
BURZACO FC A;187481;21
LANUS A;186536;22
CIUDAD DE BUENOS AIRES A;185100;23
SOCIAL BECCAR A;184652;24
GIMNASIA Y ESGRIMA DE LA PLATA A;176601;25
CLARIDAD;175846;26
GIMNASIA Y ESGRIMA DE ITUZAINGO A;172521;27
ARQUITECTURA A;171249;28
SAN MIGUEL B;165271;29
QUILMES A.C.;158503;30
SAN LORENZO A;158220;31
TEMPERLEY;156314;32
CLUB ATLETICO PILAR;154975;33
PLATENSE A;151369;34
TRISTAN SUAREZ;148662;35
JOSE HERNANDEZ A;137060;36
DEP. MORON A;136999;37
EL TALAR;135255;38
SAN FERNANDO A;131484;39
CLUB SOCIAL ALEJANDRO KORN;129364;40
MIDLAND;127328;41
BANADE A;124242;42
MONTE GRANDE A;124152;43
ITALIANO A;122834;44
VARELA JRS;122428;45
ATENEO POPULAR VERSAILLES;122382;46
IMPERIO A;121034;47
WILDE SPORTING;120043;48
UNION VILLEGAS;118545;49
C.A.S.A PADUA A;102386;50
FERROCARRIL OESTE B;99684;51
NAUTICO HACOAJ A;98219;52
UNION VECINAL DE MUNRO;95028;53
HURACAN DE SAN JUSTO A;93676;54
UNION FLORIDA;89080;55
LOS INDIOS DE MORENO B;88062;56
GEVP B;86627;57
ARMENIA;86233;58
VILLA MITRE;85012;59
PORTEÑO ATHLETIC CLUB A;83714;60
A.F.A.L.P. A;82006;61
BOCA JUNIORS B;81264;62
RACING CLUB;77800;63
PINOCHO B;76886;64
ALL BOYS A;76770;65
VICTORIA A;76248;66
DEPORTIVO CROVARA A;73520;67
INSTITUCION SARMIENTO B;68605;68
OLIMPO A;66086;69
ARGENTINO DE CASTELAR B;65926;70
LOS ANDES;64896;71
CAZA Y PESCA B;64807;72
BERAZATEGUI;64224;73
CLUB TRES DE FEBRERO B;63300;74
SPORTIVO VILLA BALLESTER;63018;75
CLUB SOCIAL EZEIZA;61998;76
VELEZ SARSFIELD B;61826;77
ESTRELLA DE BOEDO;60850;78
