anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,SEMIFINAL,3,INTERCONFERENCIA,SPORTIVO HAEDO-UNIVERSIDAD DE BUENOS AIRES,1,11/12/2025,SPORTIVO HAEDO,48,UNIVERSIDAD DE BUENOS AIRES,57
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,SEMIFINAL,3,INTERCONFERENCIA,GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B-CIRCULO URQUIZA,1,11/12/2025,GIMNASIA y ESGRIMA DE LOMAS DE ZAMORA B,71,CIRCULO URQUIZA,73
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,FINAL,3,INTERCONFERENCIA,UNIVERSIDAD DE BUENOS AIRES-CIRCULO URQUIZA,1,14/12/2025,UNIVERSIDAD DE BUENOS AIRES,48,CIRCULO URQUIZA,53
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,SEMIFINAL,2,INTERCONFERENCIA,LAS HERAS A-CLUB CEPA,1,11/12/2025,LAS HERAS A,63,CLUB CEPA,81
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,SEMIFINAL,2,INTERCONFERENCIA,LUZ Y ARTE-GEBA,1,11/12/2025,LUZ Y ARTE,48,GEBA,72
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,FINAL,2,INTERCONFERENCIA,CLUB CEPA-GEBA,1,14/12/2025,CLUB CEPA,84,GEBA,66
2025,LIGA PROXIMO MASCULINO,Playoff,Final,INTERCONFERENCIAS A,INTERCONFERENCIA,OBRAS BASKET-PINOCHO,1,07/12/2025,OBRAS BASKET,78,PINOCHO,80
2025,LIGA PROXIMO MASCULINO,Playoff,Final,INTERCONFERENCIAS B,INTERCONFERENCIA,SAN LORENZO AZUL-CLUB ATLETICO PILAR,1,07/12/2025,SAN LORENZO AZUL,75,CLUB ATLETICO PILAR,63
2025,LIGA PROXIMO MASCULINO,Playoff,Final,2,SUR,COOPERARIOS-LUZ Y ARTE,1,06/12/2025,COOPERARIOS,59,LUZ Y ARTE,68
2025,LIGA PROXIMO MASCULINO,Playoff,Final,2,SUR,GUILLON BÁSQUET-COOPERARIOS,2,,GUILLON BÁSQUET,59,COOPERARIOS,49
2025,LIGA PROXIMO MASCULINO,Playoff,Final,2,SUR,LUZ Y ARTE-GUILLON BÁSQUET,3,,LUZ Y ARTE,51,GUILLON BÁSQUET,43
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,NORTE,COLEGIALES BLANCO-LAS HERAS A,1,05/12/2025,COLEGIALES BLANCO,49,LAS HERAS A,58
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,OESTE,NOLTING-CLUB CEPA,1,05/12/2025,NOLTING,81,CLUB CEPA,91
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,SEMIFINAL,1,INTERCONFERENCIA,MIDLAND-PLATENSE MARRON,1,07/12/2025,MIDLAND,82,PLATENSE MARRON,72
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,SEMIFINAL,1,INTERCONFERENCIA,INDEPENDIENTE-ITALIANO,1,07/12/2025,INDEPENDIENTE,77,ITALIANO,46
2025,LIGA PROXIMO MASCULINO,FINAL FOUR,FINAL,1,INTERCONFERENCIA,MIDLAND-INDEPENDIENTE,1,07/12/2025,MIDLAND,64,INDEPENDIENTE,61
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,DEFENSORES DE GLEW-TAPONAZO  FUTBOL CLUB,1,30/11/2025,DEFENSORES DE GLEW,94,TAPONAZO  FUTBOL CLUB,84
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,GUILLON BÁSQUET-CLUB EL FOGON,1,30/11/2025,GUILLON BÁSQUET,69,CLUB EL FOGON,42
2025,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,SUR,DEFENSORES DE GLEW-GUILLON BÁSQUET,1,03/12/2025,DEFENSORES DE GLEW,55,GUILLON BÁSQUET,58
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,TALLERES-SPORTIVO ALSINA,1,30/11/2025,TALLERES,85,SPORTIVO ALSINA,54
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,SOCIAL LANUS-LUZ Y ARTE,1,30/11/2025,SOCIAL LANUS,42,LUZ Y ARTE,66
2025,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,SUR,TALLERES-LUZ Y ARTE,1,03/12/2025,TALLERES,53,LUZ Y ARTE,58
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,CLUB ATLETICO BERNAL-LANUS B,1,30/11/2025,CLUB ATLETICO BERNAL,62,LANUS B,43
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,SUR,COOPERARIOS-C.S.D.y C. MORENO,1,30/11/2025,COOPERARIOS,85,C.S.D.y C. MORENO,62
2025,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,SUR,CLUB ATLETICO BERNAL-COOPERARIOS,1,03/12/2025,CLUB ATLETICO BERNAL,68,COOPERARIOS,78
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,OESTE,CLUB CEPA-UNITARIOS DE MARCOS PAZ,1,30/11/2025,CLUB CEPA,83,UNITARIOS DE MARCOS PAZ,60
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,OESTE,CLUB PORTUGUES DEL GRAN BUENOS AIRES-DEFENSORES DE MORENO NEGRO,1,30/11/2025,CLUB PORTUGUES DEL GRAN BUENOS AIRES,70,DEFENSORES DE MORENO NEGRO,48
2025,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,OESTE,CLUB CEPA-CLUB PORTUGUES DEL GRAN BUENOS AIRES,1,03/12/2025,CLUB CEPA,86,CLUB PORTUGUES DEL GRAN BUENOS AIRES,46
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,OESTE,NOLTING-MORON BLANCO,1,30/11/2025,NOLTING,62,MORON BLANCO,55
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,OESTE,ESTUDIANTIL PORTEÑO B-RAMOS MEJIA LTC,1,30/11/2025,ESTUDIANTIL PORTEÑO B,77,RAMOS MEJIA LTC,39
2025,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,OESTE,NOLTING-ESTUDIANTIL PORTEÑO B,1,03/12/2025,NOLTING,72,ESTUDIANTIL PORTEÑO B,52
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,NORTE,LAS HERAS A-CLUB SOCIAL Y DEPORTIVO ARENAL,1,28/11/2025,LAS HERAS A,65,CLUB SOCIAL Y DEPORTIVO ARENAL,54
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,NORTE,U.V.V.A UNION VECINAL VILLA ADELINA-HEBRAICA,1,28/11/2025,U.V.V.A UNION VECINAL VILLA ADELINA,70,HEBRAICA,58
2025,LIGA PROXIMO MASCULINO,Playoff,FINAL,2,NORTE,LAS HERAS A-U.V.V.A UNION VECINAL VILLA ADELINA,1,03/12/2025,LAS HERAS A,65,U.V.V.A UNION VECINAL VILLA ADELINA,52
2025,LIGA PROXIMO MASCULINO,Playoff,SEMIFINAL,2,NORTE,NAUTICO BUCHARDO A-COLEGIALES BLANCO,1,30/11/2025,NAUTICO BUCHARDO A,56,COLEGIALES BLANCO,58
