anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2023.0;JUVENILES;Playoff;SEMIFINAL;3;SUR;TAPONAZO  FUTBOL CLUB-CLUB  ATLETICO Y PROGRESO DE BRANDSEN;1.0;10/12/2023;TAPONAZO  FUTBOL CLUB;70.0;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;67.0
2023.0;JUVENILES;Playoff;SEMIFINAL;3;SUR;CLUB SOCIAL EZEIZA-TALLERES;1.0;10/12/2023;CLUB SOCIAL EZEIZA;54.0;TALLERES;63.0
2023.0;JUVENILES;Playoff;FINAL;3;SUR;TAPONAZO  FUTBOL CLUB-TALLERES;1.0;17/12/2023;TAPONAZO  FUTBOL CLUB;42.0;TALLERES;44.0
2023.0;JUVENILES;Playoff;SEMIFINAL;3;SUR;SOCIAL LANUS-CLUB EL FOGON;1.0;10/12/2023;SOCIAL LANUS;85.0;CLUB EL FOGON;46.0
2023.0;JUVENILES;Playoff;SEMIFINAL;3;SUR;COLON FC-LA UNION;1.0;10/12/2023;COLON FC;66.0;LA UNION;80.0
2023.0;JUVENILES;Playoff;FINAL;3;SUR;SOCIAL LANUS-LA UNION;1.0;17/12/2023;SOCIAL LANUS;79.0;LA UNION;55.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;U.V.V.ADELINA-NAUTICO HACOAJ AZUL;1.0;3/12/2023;U.V.V.ADELINA;71.0;NAUTICO HACOAJ B;57.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;COOPERATIVA TORTUGUITAS-PLATENSE BLANCO;1.0;3/12/2023;COOPERATIVA TORTUGUITAS;66.0;PLATENSE B;75.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;HEBRAICA-CLUB TRES DE FEBRERO AZUL;1.0;3/12/2023;HEBRAICA;62.0;CLUB TRES DE FEBRERO B;28.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;VICTORIA-DEPORTIVO SAN ANDRES;1.0;3/12/2023;VICTORIA A;60.0;DEPORTIVO SAN ANDRES;62.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;NORTE;U.V.V.ADELINA-PLATENSE BLANCO;1.0;10/12/2023;U.V.V.ADELINA;80.0;PLATENSE B;59.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;NORTE;HEBRAICA-DEPORTIVO SAN ANDRES;1.0;10/12/2023;HEBRAICA;65.0;DEPORTIVO SAN ANDRES;40.0
2023.0;JUVENILES;Playoff;FINAL;2;NORTE;HEBRAICA-U.V.V.ADELINA;1.0;17/12/2023;HEBRAICA;85.0;U.V.V.ADELINA;54.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;3;OESTE;ITALIANO DE JOSE C PAZ-DEP. MORON ROJO;1.0;10/12/2023;ITALIANO DE JOSE C PAZ;44.0;DEP. MORON B;38.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;3;OESTE;"DEFENSORES DE MORENO-ESTUDIANTIL PORTEÑO ""C""";1.0;10/12/2023;DEFENSORES DE MORENO A;71.0;ESTUDIANTIL PORTEÑO C;39.0
2023.0;JUVENILES;Playoff;SEMIFINAL;3;OESTE;DEFENSORES DE MORENO-ITALIANO DE JOSE C PAZ;2.0;10/12/2023;DEFENSORES DE MORENO A;58.0;ITALIANO DE JOSE C PAZ;42.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;LUZ Y ARTE-DEFENSORES DE GLEW;1.0;3/12/2023;LUZ Y ARTE;80.0;DEFENSORES DE GLEW;63.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;BOCA JUNIORS AMARILLO-COUNTRY BANFIELD;1.0;3/12/2023;BOCA JUNIORS B;82.0;COUNTRY BANFIELD A;47.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-JUVENTUD UNIDA;1.0;3/12/2023;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B;67.0;JUVENTUD UNIDA;58.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO-VILLEGAS BASQUET;1.0;3/12/2023;GIMNASIA Y ESGRIMA DE LA PLATA B;69.0;UNION VILLEGAS;61.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;SUR;LUZ Y ARTE-BOCA JUNIORS AMARILLO;1.0;10/12/2023;LUZ Y ARTE;58.0;BOCA JUNIORS B;74.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO;1.0;10/12/2023;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B;80.0;GIMNASIA Y ESGRIMA DE LA PLATA B;71.0
2023.0;JUVENILES;Playoff;FINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-BOCA JUNIORS AMARILLO;1.0;17/12/2023;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B;61.0;BOCA JUNIORS B;53.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;SOCIAL BECCAR-CLUB SPORTIVO PILAR;1.0;3/12/2023;SOCIAL BECCAR A;79.0;SPORTIVO PILAR A;67.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;NAUTICO HACOAJ BLANCO-ATLETICO BOULOGNE;1.0;3/12/2023;NAUTICO HACOAJ A;68.0;ATLETICO BOULOGNE A;59.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;CLUB ATLETICO PILAR-CAZA Y PESCA A;1.0;3/12/2023;CLUB ATLETICO PILAR;72.0;CAZA Y PESCA A;56.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;SAN FERNANDO AZUL-UNION FLORIDA;1.0;3/12/2023;SAN FERNANDO A;87.0;UNION FLORIDA;72.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;NORTE;SOCIAL BECCAR-NAUTICO HACOAJ BLANCO;1.0;10/12/2023;SOCIAL BECCAR A;57.0;NAUTICO HACOAJ A;54.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;NORTE;CLUB ATLETICO PILAR-SAN FERNANDO AZUL;1.0;10/12/2023;CLUB ATLETICO PILAR;83.0;SAN FERNANDO A;71.0
2023.0;JUVENILES;Playoff;FINAL;1;NORTE;CLUB ATLETICO PILAR-SOCIAL BECCAR;1.0;17/12/2023;CLUB ATLETICO PILAR;94.0;SOCIAL BECCAR A;79.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;ITALIANO B-NUEVA CHICAGO;1.0;3/12/2023;ITALIANO B;58.0;NUEVA CHICAGO;35.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;COLEGIALES NEGRO-VELEZ SARSFIELD AZUL;1.0;3/12/2023;COLEGIALES B;53.0;VELEZ SARSFIELD B;65.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;GEBA-PINOCHO VERDE;1.0;3/12/2023;GEBA;101.0;PINOCHO C;35.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;YUPANQUI-FERROCARRIL OESTE C;1.0;3/12/2023;YUPANQUI;69.0;FERROCARRIL OESTE C;48.0
2023.0;JUVENILES;Playoff;SEMIFINAL;3;CENTRO;ITALIANO B-VELEZ SARSFIELD AZUL;1.0;10/12/2023;ITALIANO B;65.0;VELEZ SARSFIELD B;51.0
2023.0;JUVENILES;Playoff;SEMIFINAL;3;CENTRO;GEBA-YUPANQUI;1.0;10/12/2023;GEBA;67.0;YUPANQUI;69.0
2023.0;JUVENILES;Playoff;FINAL;3;CENTRO;ITALIANO B-YUPANQUI;1.0;17/12/2023;ITALIANO B;52.0;YUPANQUI;49.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;SAN LORENZO AZUL-ARQUITECTURA NEGRO;1.0;3/12/2023;SAN LORENZO A;90.0;ARQUITECTURA A;58.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;PEDRO ECHAGUE AZUL-IMPERIO BLANCO;1.0;3/12/2023;PEDRO ECHAGUE A;95.0;IMPERIO A;98.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;VILLA MITRE-ITALIANO;1.0;3/12/2023;VILLA MITRE;55.0;ITALIANO A;51.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;PLATENSE MARRON-VELEZ SARSFIELD BLANCO;1.0;3/12/2023;PLATENSE A;92.0;VELEZ SARSFIELD A;67.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;CENTRO;SAN LORENZO AZUL-IMPERIO BLANCO;1.0;10/12/2023;SAN LORENZO A;86.0;IMPERIO A;66.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;CENTRO;VILLA MITRE-PLATENSE MARRON;1.0;10/12/2023;VILLA MITRE;61.0;PLATENSE A;76.0
2023.0;JUVENILES;Playoff;FINAL;1;CENTRO;SAN LORENZO AZUL-PLATENSE MARRON;1.0;17/12/2023;SAN LORENZO A;67.0;PLATENSE A;65.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;ALL BOYS BLANCO-MACABI;1.0;3/12/2023;ALL BOYS A;108.0;MACABI;93.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;"HARRODS GATH Y CHAVES-DEPORTIVO CROVARA  ""A""";1.0;3/12/2023;HARRODS GATH Y CHAVES;68.0;DEPORTIVO CROVARA A;56.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;UNIVERSIDAD DE BUENOS AIRES-CIUDAD DE BUENOS AIRES B;1.0;3/12/2023;UNIVERSIDAD DE BUENOS AIRES;48.0;CIUDAD DE BUENOS AIRES B;58.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;ARMENIA-PINOCHO BLANCO;1.0;3/12/2023;ARMENIA;66.0;PINOCHO B;62.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;ALL BOYS BLANCO-HARRODS GATH Y CHAVES;1.0;10/12/2023;ALL BOYS A;77.0;HARRODS GATH Y CHAVES;67.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;ARMENIA-CIUDAD DE BUENOS AIRES B;1.0;10/12/2023;ARMENIA;46.0;CIUDAD DE BUENOS AIRES B;51.0
2023.0;JUVENILES;Playoff;FINAL;2;CENTRO;ALL BOYS BLANCO-CIUDAD DE BUENOS AIRES B;1.0;17/12/2023;ALL BOYS A;76.0;CIUDAD DE BUENOS AIRES B;78.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;INSTITUCION SARMIENTO BLANCO-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1.0;3/12/2023;INSTITUCION SARMIENTO B;50.0;CLUB PORTUGUES DEL GRAN BUENOS AIRES;61.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;ESTUDIANTIL PORTEÑO B-ARGENTINO DE CASTELAR CENTRO;1.0;3/12/2023;ESTUDIANTIL PORTEÑO B;64.0;ARGENTINO DE CASTELAR B;63.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;LOS INDIOS DE MORENO BLANCO-UNLAM A;1.0;3/12/2023;LOS INDIOS DE MORENO B;86.0;UNIVERSIDAD DE LA MATANZA;48.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;CEDEM-EL PALOMAR;1.0;3/12/2023;CEDEM;60.0;EL PALOMAR;47.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;OESTE;ESTUDIANTIL PORTEÑO B-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1.0;10/12/2023;ESTUDIANTIL PORTEÑO B;54.0;CLUB PORTUGUES DEL GRAN BUENOS AIRES;61.0
2023.0;JUVENILES;Playoff;SEMIFINAL;2;OESTE;LOS INDIOS DE MORENO BLANCO-CEDEM;1.0;10/12/2023;LOS INDIOS DE MORENO B;89.0;CEDEM;51.0
2023.0;JUVENILES;Playoff;FINAL;2;OESTE;LOS INDIOS DE MORENO BLANCO-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1.0;17/12/2023;LOS INDIOS DE MORENO B;56.0;CLUB PORTUGUES DEL GRAN BUENOS AIRES;47.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;PRESIDENTE DERQUI-NOLTING;1.0;3/12/2023;PRESIDENTE DERQUI;71.0;NOLTING;35.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;Club GEI AZUL-HURACAN DE SAN JUSTO ROJO;1.0;3/12/2023;GIMNASIA Y ESGRIMA DE ITUZAINGO A;93.0;HURACAN DE SAN JUSTO A;79.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;LOS INDIOS DE MORENO NEGRO-C.A.S.A PADUA A;1.0;3/12/2023;LOS INDIOS DE MORENO A;71.0;C.A.S.A PADUA A;51.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;A.F.A.L.P. A-CLARIDAD;1.0;3/12/2023;A.F.A.L.P. A;67.0;CLARIDAD;88.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;OESTE;PRESIDENTE DERQUI-Club GEI AZUL;1.0;10/12/2023;PRESIDENTE DERQUI;62.0;GIMNASIA Y ESGRIMA DE ITUZAINGO A;79.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;OESTE;LOS INDIOS DE MORENO NEGRO-CLARIDAD;1.0;10/12/2023;LOS INDIOS DE MORENO A;67.0;CLARIDAD;41.0
2023.0;JUVENILES;Playoff;FINAL;1;OESTE;LOS INDIOS DE MORENO NEGRO-Club GEI AZUL;1.0;17/12/2023;LOS INDIOS DE MORENO A;76.0;GIMNASIA Y ESGRIMA DE ITUZAINGO A;57.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;RACING CLUB-TEMPERLEY;1.0;3/12/2023;RACING CLUB;89.0;TEMPERLEY;78.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;TRISTAN SUAREZ-VARELA JRS;1.0;3/12/2023;TRISTAN SUAREZ;43.0;VARELA JRS;49.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;WILDE SPORTING-CAÑUELAS FC - Sub19;1.0;3/12/2023;WILDE SPORTING;78.0;CAÑUELAS FC;74.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL-BERAZATEGUI;1.0;3/12/2023;GIMNASIA Y ESGRIMA DE LA PLATA A;75.0;BERAZATEGUI;41.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;SUR;RACING CLUB-VARELA JRS;1.0;10/12/2023;RACING CLUB;77.0;VARELA JRS;80.0
2023.0;JUVENILES;Playoff;SEMIFINAL;1;SUR;WILDE SPORTING-CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;1.0;10/12/2023;WILDE SPORTING;76.0;GIMNASIA Y ESGRIMA DE LA PLATA A;66.0
2023.0;JUVENILES;Playoff;FINAL;1;SUR;WILDE SPORTING-VARELA JRS;1.0;17/12/2023;WILDE SPORTING;84.0;VARELA JRS;76.0
2023.0;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-CLUB SPORTIVO ESCOBAR;1.0;3/12/2023;BOCA JUNIORS A;86.0;SPORTIVO ESCOBAR;70.0
