Equipo,Puntos
FERROCARRIL OESTE A,503221.075
OBRAS CENTRO,415373.22500000003
BOCA JUNIORS AZUL,410402.775
LANUS A,394654.65
INSTITUCION SARMIENTO VERDE,367701.575
GEVP BLANCO,360179.83125
G.E DE LOMAS DE ZAMORA A,352519.95
CLUB TRES DE FEBRERO BLANCO,349416.55000000005
PINOCHO,342271.0875
ARGENTINO DE CASTELAR NORTE,329480.3
ESTUDIANTIL PORTEÑO A,326189.15
RIVER PLATE,326151.95
OBRAS NORTE,308546.8125
WILDE SPORTING,302885.15625
CAZA Y PESCA A,300246.84375
QUILMES A.C.,285394.025
MORON A,270688.42500000005
PRESIDENTE DERQUI,269289.945
C.A.S.A PADUA A,267529.17500000005
VELEZ SARSFIELD BLANCO,257466.10625
LOS INDIOS DE MORENO NEGRO,255812.48750000002
SAN FERNANDO AZUL,248267.0
CIUDAD DE BUENOS AIRES A,247144.98750000002
SAN LORENZO AZUL,242944.40625
TRISTAN SUAREZ,242756.47500000003
SPORTIVO ESCOBAR,234653.345
COMUNICACIONES,226179.685
CLUB GEI AZUL,220289.29375
CLARIDAD,219032.43
PEDRO ECHAGUE AZUL,218985.75
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,214183.2025
A.F.A.L.P. A,204779.83125
ITALIANO,201821.30625000002
PLATENSE MARRON,199983.86000000002
CLUB SPORTIVO PILAR,195852.22625
BERAZATEGUI,193309.5125
VARELA JRS,192529.45
CAÑUELAS FC,187880.61625
SAN MIGUEL,187652.87687500002
ARQUITECTURA NEGRO,185581.265
IMPERIO BLANCO,183785.90625
RACING CLUB,183009.55
TEMPERLEY,182696.91249999998
HURACAN DE SAN JUSTO ROJO,180064.74875000003
MONTE GRANDE,179600.88375
DEFENSORES DE HURLINGHAM VERDE,176101.60875
ARGENTINO DE CASTELAR CENTRO,175861.885625
CLUB ATLETICO PILAR,175236.1275
SOCIAL BECCAR,174857.47375
VICTORIA,172869.6428125
UNION FLORIDA,172391.73750000002
APV,170749.25125
INDEPENDIENTE,170006.6125
DEP. MORON BLANCO,164708.85625
ATLETICO BOULOGNE,163252.39375000002
HARRODS GATH Y CHAVES,162502.593125
JOSE HERNANDEZ A,161812.91375
U.V.V.ADELINA,159208.3284375
BURZACO FC A,158420.18375
FERROCARRIL OESTE B,158095.8490625
BANCO PROVINCIA,157401.856875
CLUB SOCIAL ALEJANDRO KORN,156627.355
NAUTICO HACOAJ BLANCO,156561.02375
