Equipo,Puntos
FERROCARRIL OESTE A,140427.6
LANUS A,131949.30000000002
OBRAS CENTRO,129830.85
BOCA JUNIORS AZUL,122031.67500000002
CLUB TRES DE FEBRERO BLANCO,118117.20000000001
PINOCHO,110442.82500000001
INSTITUCION SARMIENTO VERDE,107671.8
RIVER PLATE,106119.375
G.E DE LOMAS DE ZAMORA A,103355.02500000001
QUILMES A.C.,95404.95000000001
OBRAS NORTE,95313.45000000001
MORON A,95038.57500000001
GEVP BLANCO,94722.375
ESTUDIANTIL PORTEÑO A,93083.1
ARGENTINO DE CASTELAR NORTE,92668.875
SPORTIVO ESCOBAR,82330.875
LOS INDIOS DE MORENO NEGRO,75510.975
PRESIDENTE DERQUI,75306.375
SAN LORENZO AZUL,72531.73125
WILDE SPORTING,72409.55625000001
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,71740.83750000001
CLUB ATLETICO PILAR,68815.96500000001
CAZA Y PESCA A,67979.64375
CLARIDAD,67343.41875
CLUB GEI AZUL,63634.78125
TRISTAN SUAREZ,63257.86875000001
VELEZ SARSFIELD BLANCO,61557.20625
PEDRO ECHAGUE AZUL,60776.325000000004
COMUNICACIONES,60416.426250000004
SAN FERNANDO AZUL,59643.3
CIUDAD DE BUENOS AIRES A,59601.56250000001
CLUB SPORTIVO PILAR,58444.856250000004
ARQUITECTURA NEGRO,58018.2375
C.A.S.A PADUA A,57852.15
IMPERIO BLANCO,56581.21875
VARELA JRS,56219.0175
HARRODS GATH Y CHAVES,55683.780000000006
ITALIANO,55418.81250000001
BERAZATEGUI,54887.02500000001
MONTE GRANDE,54452.43750000001
A.F.A.L.P. A,54312.168750000004
PLATENSE MARRON,53046.11625000001
BANCO PROVINCIA,52918.111875
ATLETICO BOULOGNE,52601.606250000004
HEBRAICA,50786.64937500001
VICTORIA,50304.8859375
TEMPERLEY,49985.25
CEDEM,49925.5575
CLUB SOCIAL ALEJANDRO KORN,49167.10500000001
INDEPENDIENTE,49116.93750000001
JOSE HERNANDEZ A,48963.967500000006
UNION FLORIDA,48523.50000000001
RACING CLUB,48191.4375
SAN MIGUEL,47503.21125000001
DEFENSORES DE HURLINGHAM VERDE,47353.52250000001
LOS INDIOS DE MORENO BLANCO,46724.86125
CENTRO GALICIA,46553.97
"DEPORTIVO CROVARA  ""A""",46426.590937500005
DEPORTIVO SAN ANDRES,45932.512500000004
NOLTING,45795.38625
SOCIAL BECCAR,45786.80625
HURACAN DE SAN JUSTO ROJO,45394.17375
MACABI,45332.57718750001
CAÑUELAS FC,45249.24375
VILLA MITRE,44647.256250000006
INSTITUCION SARMIENTO BLANCO,44293.17375
ALL BOYS BLANCO,44258.708437500005
APV,44187.8775
CIUDAD DE BUENOS AIRES B,43666.3340625
UNITARIOS DE MARCOS PAZ,43510.2375
NAUTICO BUCHARDO A,43314.80625
LOS ANDES,43178.5875
ARGENTINOS JUNIORS,42351.140625
ARGENTINO DE CASTELAR CENTRO,42212.780625
UNIVERSIDAD DE BUENOS AIRES,41963.28093750001
U.V.V.ADELINA,41962.497187500005
BELLA VISTA,41929.795312500006
FERROCARRIL OESTE B,41814.9778125
CLUB TRES DE FEBRERO AZUL,41704.46906250001
CLUB PORTUGUES DEL GRAN BUENOS AIRES,40683.7396875
PINOCHO BLANCO,40209.825
BOCA JUNIORS AMARILLO,40134.3675
NAUTICO HACOAJ BLANCO,39812.08125
COUNTRY BANFIELD A,39673.123125000006
COOPERATIVA TORTUGUITAS,39356.418750000004
C.A.S.A PADUA B,38844.705
COLEGIALES BLANCO,38383.856250000004
LOBOS ATHLETIC CLUB,38371.4596875
BANADE,38224.7146875
BURZACO FC A,37872.817500000005
MIDLAND,37633.78125
UNION VECINAL DE MUNRO,37365.375
VILLEGAS BASQUET,37359.714375
OLIMPO,37266.333750000005
EL TALAR,36701.44500000001
ARMENIA,36472.55625
DEFENSORES DE BANFIELD,36232.41
DEFENSORES DE SANTOS LUGARES,36184.97625
DEFENSORES DE GLEW,35238.099375000005
DEP. MORON BLANCO,35057.565
GEBA,35048.4328125
SPORTIVO VILLA BALLESTER,34798.537500000006
LA UNION,34778.925
COPELLO,34419.15375
CAZA Y PESCA B,34249.028437500005
17 DE AGOSTO,34187.73375
DEFENSORES DE MORENO,34125.58125
PORTEÑO ATLETICO CLUB,33819.1875
COOPERARIOS,33754.436250000006
SPORTIVO ALSINA,33456.5334375
GEVP CELESTE,33304.70625
G.E DE LOMAS DE ZAMORA B,32620.288125
ITALIANO B,32319.984375
LAS HERAS A,31975.061250000006
CLUB ATLETICO BERNAL,31927.906875
MORON B,31878.932812500003
ESTUDIANTIL PORTEÑO B,31870.441875000004
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,31363.731562500005
CENTRO ESPAÑOL,31322.420625000002
VELEZ SARSFIELD AZUL,31234.415625
LANUS B,30946.7203125
CIUDADELA NORTE,30670.992187500004
TAPONAZO  FUTBOL CLUB,30643.36875
JUVENTUD UNIDA,30475.138125
YUPANQUI,30182.540625
EL PALOMAR,30018.663750000003
UNLAM A,29921.094375000004
ESTRELLA DE BOEDO,29538.9159375
SITAS,29422.427812500006
LEANDRO N ALEM,29294.077500000003
CIRCULO URQUIZA AZUL,29022.975000000002
RAMOS MEJIA LTC,28957.500000000004
VILLA ESPAÑA,28924.430625
GUILLON BASQUET,27968.450625
PLATENSE BLANCO,27716.537812500002
BANCO NACIÓN,27658.035000000003
CLUB GEI BLANCO,26736.6384375
MORENO DE QUILMES,26709.946875
LUZ Y ARTE,26708.526562500003
SAN LORENZO ROJO,26698.255312500005
FERROCARRIL OESTE C,26692.425000000003
MUNICIPALIDAD DE AVELLANEDA,26564.006250000002
NAUTICO HACOAJ AZUL,26515.402500000004
CLUB SOCIAL EZEIZA,26128.6875
COLON FC,25890.693750000002
SAN FERNANDO BLANCO,25575.053437500002
INDEPENDIENTE DE BURZACO,25157.9296875
CLUB EL FOGON,25132.050000000003
RACING ANEXO,24539.558437500003
COLEGIALES NEGRO,23912.662500000002
SOCIAL LANUS,23625.253125000003
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,23530.5703125
BANCO PROVINCIA B,22729.254375000004
DEP. MORON ROJO,22701.065625000003
PEDRO ECHAGUE AMARILLO,22274.655000000002
IMPERIO NEGRO,22212.646875000002
CLUB ATLETICO PAMPERO,21473.775937500002
JOSE HERNANDEZ B,20733.082500000004
LAS HERAS B,19495.332187500004
SAN MIGUEL BLANCO,19348.678125000002
A.F.A.L.P. B,18983.128125000003
PINOCHO VERDE,18821.896875000002
NAUTICO BUCHARDO B,17957.542500000003
CIRCULO URQUIZA BLANCO,17225.5640625
CLUB 12 DE OCTUBRE,16499.68125
TALLERES,16045.087500000001
ITALIANO DE JOSE C PAZ,14953.95
DEPORTIVO CROVARA B,14893.185937500002
ALL BOYS NEGRO,14204.095312500001
"ESTUDIANTIL PORTEÑO ""C""",13972.612500000001
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,13896.703125000002
NUEVA CHICAGO,11319.032812500001
HURACAN DE SAN JUSTO BLANCO,10709.803125
LIBRE,451.18125000000003
