Club;Posicion_Actual;Posicion_Nuevo;Delta_Posicion;Puntos_Actual;Puntos_Nuevo;Delta_Puntos
FERROCARRIL OESTE;1;1;0;385104;283604;-101500
PINOCHO;3;2;1;345596;249140;-96456
CLUB TRES DE FEBRERO;5;3;2;278067;222163;-55904
OBRAS SANITARIAS;2;4;-2;373898;222071;-151827
ARGENTINO DE CASTELAR;8;5;3;273224;216446;-56778
BOCA JUNIORS;4;6;-2;306672;210876;-95796
ESTUDIANTIL PORTEÑO;9;7;2;270196;208931;-61265
INSTITUCION SARMIENTO;6;8;-2;274731;204676;-70055
LANUS;13;9;4;243687;201374;-42313
CAZA Y PESCA;7;10;-3;273896;199850;-74046
GEVP;14;11;3;237063;197139;-39924
GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA;10;12;-2;260399;192038;-68361
LOS INDIOS DE MORENO;12;13;-1;246396;185978;-60418
VELEZ SARSFIELD;11;14;-3;248501;185209;-63292
MORON;17;15;2;218644;171694;-46950
CIUDAD DE BUENOS AIRES;15;16;-1;236701;166812;-69889
C.A.S.A PADUA;16;17;-1;228779;165182;-63597
GIMNASIA Y ESGRIMA DE ITUZAINGO;22;18;4;186911;157247;-29664
SAN LORENZO;18;19;-1;213443;153196;-60247
SAN FERNANDO;21;20;1;195132;150298;-44834
PEDRO ECHAGUE;23;21;2;176006;146798;-29208
ITALIANO;20;22;-2;197486;142260;-55226
PLATENSE;19;23;-4;208594;140343;-68251
ARQUITECTURA;31;24;7;161072;133578;-27494
PRESIDENTE DERQUI;28;25;3;166316;131219;-35097
SAN MIGUEL;30;26;4;161769;130855;-30914
GIMNASIA Y ESGRIMA DE LA PLATA;24;27;-3;175973;130642;-45331
RIVER PLATE;29;28;1;164361;130175;-34186
DEP. MORON;25;29;-4;173199;130132;-43067
JOSE HERNANDEZ;36;30;6;141540;123751;-17789
IMPERIO;27;31;-4;167659;122576;-45083
COMUNICACIONES;26;32;-6;168526;121340;-47186
QUILMES A.C.;41;33;8;135893;116024;-19869
SPORTIVO ESCOBAR;39;34;5;139774;113416;-26358
NAUTICO HACOAJ;38;35;3;140555;112544;-28011
DEFENSORES DE HURLINGHAM;42;36;6;132046;109257;-22789
BURZACO FC;35;37;-2;146407;108991;-37416
NAUTICO BUCHARDO;45;38;7;128064;108169;-19895
MONTE GRANDE;34;39;-5;147248;107465;-39783
WILDE SPORTING;37;40;-3;140951;107324;-33627
TRISTAN SUAREZ;43;41;2;131193;106670;-24523
CLUB SPORTIVO PILAR;32;42;-10;158180;102779;-55401
CLARIDAD;44;43;1;130725;102261;-28464
CLUB ATLETICO PILAR;33;44;-11;153592;101975;-51617
COLEGIALES;50;45;5;120227;101607;-18620
HURACAN DE SAN JUSTO;40;46;-6;137167;100694;-36473
A.F.A.L.P.;53;47;6;115858;100647;-15211
SOCIAL BECCAR;47;48;-1;124023;100261;-23762
DEPORTIVO CROVARA;52;49;3;116816;100226;-16590
VARELA JRS;48;50;-2;122776;95698;-27078
VICTORIA;51;51;0;118586;94526;-24060
CLUB SOCIAL ALEJANDRO KORN;49;52;-3;120646;90453;-30193
TEMPERLEY;61;53;8;108501;89723;-18778
BERAZATEGUI;59;54;5;110005;88550;-21455
BANADE;55;55;0;113268;86912;-26356
BANCO PROVINCIA;46;56;-10;127019;85842;-41177
ATENEO POPULAR VERSAILLES;56;57;-1;112284;85604;-26680
ALL BOYS;63;58;5;101942;85240;-16702
COUNTRY BANFIELD;62;59;3;107507;83617;-23890
PORTEÑO ATHLETIC CLUB;54;60;-6;114349;80758;-33591
UNION FLORIDA;67;61;6;94990;80727;-14263
BANCO NACION;68;62;6;94454;80029;-14425
MIDLAND;57;63;-6;110637;78127;-32510
CAÑUELAS FC;65;64;1;100277;77369;-22908
LAS HERAS;69;65;4;94105;76378;-17727
UNION VILLEGAS;60;66;-6;109123;75875;-33248
EL TALAR;76;67;9;88379;75803;-12576
RACING CLUB;58;68;-10;110567;74565;-36002
UNION VECINAL DE MUNRO;70;69;1;93669;74232;-19437
U.V.V.ADELINA;64;70;-6;101867;72197;-29670
LOBOS ATHLETIC CLUB;74;71;3;90042;71516;-18526
ARMENIA;78;72;6;87179;71100;-16079
HARRODS GATH Y CHAVES;75;73;2;89387;70873;-18514
INDEPENDIENTE;71;74;-3;92042;70853;-21189
VILLA MITRE;84;75;9;80917;69215;-11702
CEDEM;72;76;-4;91235;68752;-22483
CIRCULO URQUIZA;73;77;-4;90736;68623;-22113
OLIMPO;82;78;4;82221;68371;-13850
COPELLO;83;79;4;81407;66992;-14415
GEBA;66;80;-14;95989;65893;-30096
ATLETICO BOULOGNE;80;81;-1;85072;65211;-19861
NOLTING;81;82;-1;84346;64460;-19886
SPORTIVO VILLA BALLESTER;91;83;8;74480;64415;-10065
CLUB ATLETICO BERNAL;79;84;-5;85422;64281;-21141
SPORTIVO ALSINA;89;85;4;76600;61445;-15155
LOS ANDES;99;86;13;71280;61439;-9841
COOPERATIVA TORTUGUITAS;92;87;5;74344;61320;-13024
INDEPENDIENTE DE BURZACO;90;88;2;75579;61266;-14313
DEFENSORES DE BANFIELD;95;89;6;73292;60742;-12550
GUILLON BASQUET;85;90;-5;79759;60380;-19379
DEPORTIVO SAN ANDRES;100;91;9;70325;60232;-10093
UNITARIOS DE MARCOS PAZ;97;92;5;72689;59162;-13527
SOCIAL LANUS;96;93;3;73290;58887;-14403
MACABI;86;94;-8;78612;58754;-19858
CLUB SOCIAL EZEIZA;98;95;3;71436;58699;-12737
JUVENTUD UNIDA;87;96;-9;78505;58360;-20145
