Posicion;Club;Puntos
1;FERROCARRIL OESTE;385104
2;OBRAS SANITARIAS;373898
3;PINOCHO;345596
4;BOCA JUNIORS;306672
5;CLUB TRES DE FEBRERO;278067
6;INSTITUCION SARMIENTO;274731
7;CAZA Y PESCA;273896
8;ARGENTINO DE CASTELAR;273224
9;ESTUDIANTIL PORTEÑO;270196
10;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA;260399
11;VELEZ SARSFIELD;248501
12;LOS INDIOS DE MORENO;246396
13;LANUS;243687
14;GEVP;237063
15;CIUDAD DE BUENOS AIRES;236701
16;C.A.S.A PADUA;228779
17;MORON;218644
18;SAN LORENZO;213443
19;PLATENSE;208594
20;ITALIANO;197486
21;SAN FERNANDO;195132
22;GIMNASIA Y ESGRIMA DE ITUZAINGO;186911
23;PEDRO ECHAGUE;176006
24;GIMNASIA Y ESGRIMA DE LA PLATA;175973
25;DEP. MORON;173199
26;COMUNICACIONES;168526
27;IMPERIO;167659
28;PRESIDENTE DERQUI;166316
29;RIVER PLATE;164361
30;SAN MIGUEL;161769
31;ARQUITECTURA;161072
32;CLUB SPORTIVO PILAR;158180
33;CLUB ATLETICO PILAR;153592
34;MONTE GRANDE;147248
35;BURZACO FC;146407
36;JOSE HERNANDEZ;141540
37;WILDE SPORTING;140951
38;NAUTICO HACOAJ;140555
39;SPORTIVO ESCOBAR;139774
40;HURACAN DE SAN JUSTO;137167
41;QUILMES A.C.;135893
42;DEFENSORES DE HURLINGHAM;132046
43;TRISTAN SUAREZ;131193
44;CLARIDAD;130725
45;NAUTICO BUCHARDO;128064
46;BANCO PROVINCIA;127019
47;SOCIAL BECCAR;124023
48;VARELA JRS;122776
49;CLUB SOCIAL ALEJANDRO KORN;120646
50;COLEGIALES;120227
51;VICTORIA;118586
52;DEPORTIVO CROVARA;116816
53;A.F.A.L.P.;115858
54;PORTEÑO ATHLETIC CLUB;114349
55;BANADE;113268
56;ATENEO POPULAR VERSAILLES;112284
57;MIDLAND;110637
58;RACING CLUB;110567
59;BERAZATEGUI;110005
60;UNION VILLEGAS;109123
61;TEMPERLEY;108501
62;COUNTRY BANFIELD;107507
63;ALL BOYS;101942
64;U.V.V.ADELINA;101867
65;CAÑUELAS FC;100277
66;GEBA;95989
67;UNION FLORIDA;94990
68;BANCO NACION;94454
69;LAS HERAS;94105
70;UNION VECINAL DE MUNRO;93669
71;INDEPENDIENTE;92042
72;CEDEM;91235
73;CIRCULO URQUIZA;90736
74;LOBOS ATHLETIC CLUB;90042
75;HARRODS GATH Y CHAVES;89387
76;EL TALAR;88379
77;UNIVERSIDAD DE BUENOS AIRES;87929
78;ARMENIA;87179
79;CLUB ATLETICO BERNAL;85422
80;ATLETICO BOULOGNE;85072
81;NOLTING;84346
82;OLIMPO;82221
83;COPELLO;81407
84;VILLA MITRE;80917
85;GUILLON BASQUET;79759
86;MACABI;78612
87;JUVENTUD UNIDA;78505
88;EL PALOMAR;77940
89;SPORTIVO ALSINA;76600
90;INDEPENDIENTE DE BURZACO;75579
91;SPORTIVO VILLA BALLESTER;74480
92;COOPERATIVA TORTUGUITAS;74344
93;SITAS;74273
94;CLUB CEPA;73792
95;DEFENSORES DE BANFIELD;73292
96;SOCIAL LANUS;73290
97;UNITARIOS DE MARCOS PAZ;72689
98;CLUB SOCIAL EZEIZA;71436
99;LOS ANDES;71280
100;DEPORTIVO SAN ANDRES;70325
101;ARGENTINOS JUNIORS;69934
102;CLUB SOCIAL Y DEPORTIVO ARENAL;69675
103;DEFENSORES DE GLEW;69541
104;BELLA VISTA;69023
105;MORENO DE QUILMES;68989
106;CLUB PORTUGUES DEL GRAN BUENOS AIRES;68354
107;LUZ Y ARTE;67845
108;ESTRELLA DE BOEDO;66300
109;DEFENSORES DE MORENO;66026
110;VILLA ESPAÑA;65829
111;CENTRO GALICIA;65662
112;DEFENSORES DE SANTOS LUGARES;65348
113;INDEPENDIENTE DE ESCOBAR;63612
114;HEBRAICA;63237
115;COOPERARIOS;63214
116;RAMOS MEJIA LTC;62883
117;COLON FC;61987
118;MUNICIPALIDAD DE AVELLANEDA;61905
119;LEANDRO N ALEM;61551
120;YUPANQUI;59311
121;CENTRO ESPAÑOL;57505
122;RACING ANEXO;57478
123;UNIVERSIDAD DE LA MATANZA;57196
124;SPORTIVO HAEDO;56775
125;CLUB ATLETICO PAMPERO;56440
126;CIUDADELA NORTE;55175
127;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;54373
128;17 DE AGOSTO;53253
129;CLUB EL FOGON;52443
130;TAPONAZO  FUTBOL CLUB;51741
131;TALLERES;50745
132;LA UNION;50628
133;ITALIANO DE JOSE C PAZ;44921
134;JUVENCIA;44905
135;CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS;40080
136;CLUB ATLETICO HURACAN DE PARQUE PATRICIOS;38120
137;ALDO BONZI;37609
138;PASO DEL REY;37363
139;ALL BOYS DE SAAVEDRA;30994
140;ARGENTINO DE QUILMES;29272
141;NUEVA CHICAGO;28979
142;EL PORVENIR JOSE C. PAZ;23087
143;CLUB 12 DE OCTUBRE;20531
144;SPORTIVO PILAR;16915
145;MUNICIPALIDAD DE HURLINGHAM;16148
146;EL PORVENIR;15892
147;CLUB ATENEO INGENIERO RAVER;9515
148;CLUB  JUVENTUD  UNIDA  DE LAVALLOL;7889
149;PORTEÑO ATLETICO CLUB;7743
150;SOCIEDAD ATLETICA PABELLON ARGENTINO;6036
151;TAMBEROS UNIDOS;5321
152;CLUB SOCIAL Y DEPORTIVO NAHUEL;4783
153;CLUB ATLETICO 9 DE JULIO DE LANUS;4452
154;LIBRE;3749
