Posicion;Equipo;Puntos
1;OBRAS SANITARIAS A;297596
2;FERROCARRIL OESTE A;238219
3;BOCA JUNIORS A;225049
4;PINOCHO A;217965
5;CAZA Y PESCA A;202251
6;INSTITUCION SARMIENTO A;197699
7;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA A;182540
8;ESTUDIANTIL PORTEÑO A;177342
9;CLUB TRES DE FEBRERO A;176279
10;VELEZ SARSFIELD A;173110
11;LANUS A;172502
12;PRESIDENTE DERQUI;166316
13;RIVER PLATE;164361
14;ARGENTINO DE CASTELAR A;162589
15;COMUNICACIONES A;162493
16;CIUDAD DE BUENOS AIRES A;160606
17;GEVP A;159057
18;CLUB SPORTIVO PILAR;158180
19;LOS INDIOS DE MORENO A;156782
20;C.A.S.A PADUA A;156173
21;CLUB ATLETICO PILAR;153592
22;SAN LORENZO A;152598
23;MORON A;147405
24;WILDE SPORTING;140951
25;PLATENSE A;139948
26;SPORTIVO ESCOBAR;139774
27;QUILMES A.C.;135893
28;SAN FERNANDO A;133075
29;TRISTAN SUAREZ;131193
30;CLARIDAD;130725
31;ITALIANO A;127568
32;GIMNASIA Y ESGRIMA DE LA PLATA A;126869
33;PEDRO ECHAGUE A;126593
34;GIMNASIA Y ESGRIMA DE ITUZAINGO A;123044
35;DEP. MORON A;122855
36;VARELA JRS;122776
37;CLUB SOCIAL ALEJANDRO KORN;120646
38;MONTE GRANDE A;120142
39;BANCO PROVINCIA A;119354
40;SOCIAL BECCAR A;119181
41;BURZACO FC A;117649
42;IMPERIO A;114185
43;ATENEO POPULAR VERSAILLES;112284
44;ARQUITECTURA A;111191
45;MIDLAND;110637
46;RACING CLUB;110567
47;BERAZATEGUI;110005
48;UNION VILLEGAS;109123
49;TEMPERLEY;108501
50;SAN MIGUEL A;104965
51;HURACAN DE SAN JUSTO A;104195
52;BANADE A;102681
53;U.V.V.ADELINA;101867
54;CAÑUELAS FC;100277
55;DEFENSORES DE HURLINGHAM A;96906
56;A.F.A.L.P. A;96788
57;NAUTICO HACOAJ A;96609
58;GEBA;95989
59;PORTEÑO ATHLETIC CLUB A;95500
60;UNION FLORIDA;94990
61;VICTORIA A;93739
62;UNION VECINAL DE MUNRO;93669
63;ARGENTINO DE CASTELAR B;91972
64;JOSE HERNANDEZ A;91409
65;CEDEM;91235
66;FERROCARRIL OESTE B;90198
67;LOBOS ATHLETIC CLUB;90042
68;LOS INDIOS DE MORENO B;89614
69;HARRODS GATH Y CHAVES;89387
70;EL TALAR;88379
71;UNIVERSIDAD DE BUENOS AIRES;87929
72;ESTUDIANTIL PORTEÑO B;87251
73;ARMENIA;87179
74;CLUB ATLETICO BERNAL;85422
75;NOLTING;84346
76;NAUTICO BUCHARDO A;84041
77;PINOCHO B;83355
78;COUNTRY BANFIELD A;82124
79;ALL BOYS A;81773
80;BOCA JUNIORS B;81623
81;COPELLO;81407
82;VILLA MITRE;80917
83;CLUB TRES DE FEBRERO B;79966
84;GUILLON BASQUET;79759
85;ATLETICO BOULOGNE;79342
86;MACABI;78612
87;JUVENTUD UNIDA;78505
88;GEVP B;78006
89;EL PALOMAR;77940
90;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B;77859
91;DEPORTIVO CROVARA A;77513
92;INSTITUCION SARMIENTO B;77032
93;SPORTIVO ALSINA;76600
94;OBRAS SANITARIAS B;76302
95;CIUDAD DE BUENOS AIRES B;76095
96;INDEPENDIENTE DE BURZACO;75579
97;OLIMPO A;75516
98;VELEZ SARSFIELD B;75391
99;SPORTIVO VILLA BALLESTER;74480
100;COOPERATIVA TORTUGUITAS;74344
101;INDEPENDIENTE A;74252
102;CLUB CEPA;73792
103;COLEGIALES A;73578
104;BANCO NACION A;73429
105;DEFENSORES DE BANFIELD;73292
106;SOCIAL LANUS;73290
107;UNITARIOS DE MARCOS PAZ;72689
108;LAS HERAS A;72645
109;CIRCULO URQUIZA A;72613
110;C.A.S.A PADUA B;72606
111;SITAS A;72201
112;CAZA Y PESCA B;71645
113;CLUB SOCIAL EZEIZA;71436
114;LOS ANDES;71280
115;MORON B;71239
116;LANUS B;71185
117;DEPORTIVO SAN ANDRES;70325
118;ARGENTINOS JUNIORS;69934
119;ITALIANO B;69918
120;CLUB SOCIAL Y DEPORTIVO ARENAL;69675
121;DEFENSORES DE GLEW;69541
122;BELLA VISTA;69023
123;MORENO DE QUILMES;68989
124;PLATENSE B;68646
125;CLUB PORTUGUES DEL GRAN BUENOS AIRES;68354
126;LUZ Y ARTE;67845
127;ESTRELLA DE BOEDO;66300
128;VILLA ESPAÑA;65829
129;CENTRO GALICIA;65662
130;DEFENSORES DE SANTOS LUGARES;65348
131;INDEPENDIENTE DE ESCOBAR;63612
132;HEBRAICA;63237
133;COOPERARIOS;63214
134;RAMOS MEJIA LTC;62883
135;SAN FERNANDO B;62057
136;COLON FC;61987
137;MUNICIPALIDAD DE AVELLANEDA;61905
138;LEANDRO N ALEM;61551
139;SAN LORENZO B;60845
140;GIMNASIA Y ESGRIMA DE ITUZAINGO B;60763
141;DEFENSORES DE MORENO A;59491
142;YUPANQUI;59311
143;CENTRO ESPAÑOL;57505
144;RACING ANEXO;57478
145;UNIVERSIDAD DE LA MATANZA;57196
146;SAN MIGUEL B;56804
147;SPORTIVO HAEDO;56775
148;FERROCARRIL OESTE C;56687
149;CLUB ATLETICO PAMPERO;56440
150;CIUDADELA NORTE;55175
151;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;54373
