Posicion;Club;Puntos
1;FERROCARRIL OESTE;283604
2;PINOCHO;249140
3;CLUB TRES DE FEBRERO;222163
4;OBRAS SANITARIAS;222071
5;ARGENTINO DE CASTELAR;216446
6;BOCA JUNIORS;210876
7;ESTUDIANTIL PORTEÑO;208931
8;INSTITUCION SARMIENTO;204676
9;LANUS;201374
10;CAZA Y PESCA;199850
11;GEVP;197139
12;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA;192038
13;LOS INDIOS DE MORENO;185978
14;VELEZ SARSFIELD;185209
15;MORON;171694
16;CIUDAD DE BUENOS AIRES;166812
17;C.A.S.A PADUA;165182
18;GIMNASIA Y ESGRIMA DE ITUZAINGO;157247
19;SAN LORENZO;153196
20;SAN FERNANDO;150298
21;PEDRO ECHAGUE;146798
22;ITALIANO;142260
23;PLATENSE;140343
24;ARQUITECTURA;133578
25;PRESIDENTE DERQUI;131219
26;SAN MIGUEL;130855
27;GIMNASIA Y ESGRIMA DE LA PLATA;130642
28;RIVER PLATE;130175
29;DEP. MORON;130132
30;JOSE HERNANDEZ;123751
31;IMPERIO;122576
32;COMUNICACIONES;121340
33;QUILMES A.C.;116024
34;SPORTIVO ESCOBAR;113416
35;NAUTICO HACOAJ;112544
36;DEFENSORES DE HURLINGHAM;109257
37;BURZACO FC;108991
38;NAUTICO BUCHARDO;108169
39;MONTE GRANDE;107465
40;WILDE SPORTING;107324
41;TRISTAN SUAREZ;106670
42;CLUB SPORTIVO PILAR;102779
43;CLARIDAD;102261
44;CLUB ATLETICO PILAR;101975
45;COLEGIALES;101607
46;HURACAN DE SAN JUSTO;100694
47;A.F.A.L.P.;100647
48;SOCIAL BECCAR;100261
49;DEPORTIVO CROVARA;100226
50;VARELA JRS;95698
51;VICTORIA;94526
52;CLUB SOCIAL ALEJANDRO KORN;90453
53;TEMPERLEY;89723
54;BERAZATEGUI;88550
55;BANADE;86912
56;BANCO PROVINCIA;85842
57;ATENEO POPULAR VERSAILLES;85604
58;ALL BOYS;85240
59;COUNTRY BANFIELD;83617
60;PORTEÑO ATHLETIC CLUB;80758
61;UNION FLORIDA;80727
62;BANCO NACION;80029
63;MIDLAND;78127
64;CAÑUELAS FC;77369
65;LAS HERAS;76378
66;UNION VILLEGAS;75875
67;EL TALAR;75803
68;RACING CLUB;74565
69;UNION VECINAL DE MUNRO;74232
70;U.V.V.ADELINA;72197
71;LOBOS ATHLETIC CLUB;71516
72;ARMENIA;71100
73;HARRODS GATH Y CHAVES;70873
74;INDEPENDIENTE;70853
75;VILLA MITRE;69215
76;CEDEM;68752
77;CIRCULO URQUIZA;68623
78;OLIMPO;68371
79;COPELLO;66992
80;GEBA;65893
81;ATLETICO BOULOGNE;65211
82;NOLTING;64460
83;SPORTIVO VILLA BALLESTER;64415
84;CLUB ATLETICO BERNAL;64281
85;SPORTIVO ALSINA;61445
86;LOS ANDES;61439
87;COOPERATIVA TORTUGUITAS;61320
88;INDEPENDIENTE DE BURZACO;61266
89;DEFENSORES DE BANFIELD;60742
90;GUILLON BASQUET;60380
91;DEPORTIVO SAN ANDRES;60232
92;UNITARIOS DE MARCOS PAZ;59162
93;SOCIAL LANUS;58887
94;MACABI;58754
95;CLUB SOCIAL EZEIZA;58699
96;JUVENTUD UNIDA;58360
97;CENTRO GALICIA;57933
98;SITAS;57899
99;ESTRELLA DE BOEDO;57751
100;ARGENTINOS JUNIORS;57226
101;MORENO DE QUILMES;56740
102;BELLA VISTA;56643
103;EL PALOMAR;56258
104;UNIVERSIDAD DE BUENOS AIRES;55670
105;VILLA ESPAÑA;55185
106;DEFENSORES DE SANTOS LUGARES;54956
107;CLUB SOCIAL Y DEPORTIVO ARENAL;54912
108;DEFENSORES DE GLEW;53701
109;LEANDRO N ALEM;53396
110;CLUB PORTUGUES DEL GRAN BUENOS AIRES;53128
111;RAMOS MEJIA LTC;52924
112;LUZ Y ARTE;51917
113;MUNICIPALIDAD DE AVELLANEDA;51819
114;COOPERARIOS;51692
115;CENTRO ESPAÑOL;50721
116;YUPANQUI;50557
117;HEBRAICA;50470
118;DEFENSORES DE MORENO;50165
119;UNIVERSIDAD DE LA MATANZA;49800
120;CLUB ATLETICO PAMPERO;48766
121;RACING ANEXO;47390
122;COLON FC;46715
123;INDEPENDIENTE DE ESCOBAR;46610
124;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;46556
125;17 DE AGOSTO;46554
126;CLUB CEPA;46266
127;CIUDADELA NORTE;45383
128;CLUB EL FOGON;45322
129;LA UNION;44710
130;TAPONAZO  FUTBOL CLUB;44097
131;TALLERES;39495
132;ITALIANO DE JOSE C PAZ;36755
133;CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS;35351
134;JUVENCIA;33654
135;SPORTIVO HAEDO;31401
136;PASO DEL REY;30166
137;ALDO BONZI;30078
138;CLUB ATLETICO HURACAN DE PARQUE PATRICIOS;29252
139;ARGENTINO DE QUILMES;25155
140;ALL BOYS DE SAAVEDRA;24755
141;NUEVA CHICAGO;22148
142;EL PORVENIR JOSE C. PAZ;18905
143;CLUB 12 DE OCTUBRE;17949
144;MUNICIPALIDAD DE HURLINGHAM;14280
145;SPORTIVO PILAR;14159
146;EL PORVENIR;13149
147;CLUB ATENEO INGENIERO RAVER;8178
148;PORTEÑO ATLETICO CLUB;6821
149;CLUB  JUVENTUD  UNIDA  DE LAVALLOL;5435
150;SOCIEDAD ATLETICA PABELLON ARGENTINO;4800
151;TAMBEROS UNIDOS;4287
152;CLUB ATLETICO 9 DE JULIO DE LANUS;3808
153;CLUB SOCIAL Y DEPORTIVO NAHUEL;3725
154;LIBRE;3334
