equipo,zona
ALL BOYS BLANCO,CENTRO
ARGENTINOS JUNIORS,CENTRO
ARQUITECTURA BLANCO,CENTRO
ARQUITECTURA BLANCO  B,CENTRO
ARQUITECTURA NEGRO  A,CENTRO
ARQUITECTURA NEGRO A,CENTRO
COLEGIALES BLANCO,CENTRO
COLEGIALES NEGRO,CENTRO
EL TALAR,CENTRO
FERROCARRIL OESTE A,CENTRO
FERROCARRIL OESTE B,CENTRO
GEBA,CENTRO
IMPERIO BLANCO  A,CENTRO
IMPERIO BLANCO A,CENTRO
IMPERIO NEGRO,CENTRO
IMPERIO NEGRO B,CENTRO
ITALIANO,CENTRO
ITALIANO B,CENTRO
"JOSE HERNANDEZ ""B""",CENTRO
MACABI,CENTRO
PEDRO ECHAGUE AZUL A,CENTRO
PINOCHO,CENTRO
PINOCHO BLANCO,CENTRO
SAN LORENZO AZUL,CENTRO
VILLA MITRE,CENTRO
17 DE AGOSTO,NORTE
ATLETICO BOULOGNE,NORTE
BANADE ROJO,NORTE
BANCO NACION AZUL A,NORTE
BANCO NACION BLANCO B,NORTE
BANCO PROVINCIA,NORTE
BELLA VISTA,NORTE
CAZA Y PESCA AZUL A,NORTE
CAZA Y PESCA BLANCO B,NORTE
CENTRO GALICIA,NORTE
CIRCULO URQUIZA,NORTE
CIUDAD DE BUENOS AIRES AZUL A,NORTE
CIUDAD DE BUENOS AIRES BLANCO B,NORTE
CLUB 3 DE FEBRERO AZUL B,NORTE
CLUB 3 DE FEBRERO BLANCO A,NORTE
CLUB 3 DE FEBRERO CELESTE C,NORTE
CLUB ATLETICO PILAR,NORTE
CLUB SOCIAL Y DEPORTIVO ARENAL,NORTE
CLUB SPORTIVO PILAR,NORTE
COMUNICACIONES,NORTE
COOPERATIVA TORTUGUITAS,NORTE
COPELLO,NORTE
HARRODS GATH Y CHAVES,NORTE
HEBRAICA,NORTE
INDEPENDIENTE DE ESCOBAR,NORTE
LAS HERAS A,NORTE
LIBRE,NORTE
NAUTICO BUCHARDO A,NORTE
NAUTICO BUCHARDO B,NORTE
"NAUTICO HACOAJ AZUL ""B""",NORTE
"NAUTICO HACOAJ BLANCO ""A""",NORTE
OBRAS BASKET,NORTE
PLATENSE BLANCO,NORTE
PLATENSE MARRON,NORTE
PRESIDENTE DERQUI,NORTE
RIVER PLATE,NORTE
SAN ANDRES,NORTE
SAN FERNANDO AZUL (A),NORTE
SAN FERNANDO BLANCO (B),NORTE
SOCIAL BECCAR,NORTE
SPORTIVO ESCOBAR,NORTE
SPORTIVO VILLA BALLESTER,NORTE
U.V.V.A UNION VECINAL VILLA ADELINA,NORTE
UNION FLORIDA,NORTE
UNION VECINAL DE MUNRO,NORTE
UNIVERSIDAD DE BUENOS AIRES,NORTE
"VICTORIA BLANCO ""B""",NORTE
