anio,categoria,zona,equipo,partidos
2025,CADETES MASCULINO,NORTE,CLUB 3 DE FEBRERO CELESTE C,28
2025,CADETES MASCULINO,NORTE,SAN ANDRES,28
2025,CADETES MASCULINO,CENTRO,ALL BOYS BLANCO,26
2025,CADETES MASCULINO,CENTRO,ITALIANO,26
2025,CADETES MASCULINO,OESTE,INSTITUCION SARMIENTO BLANCO B,28
2025,CADETES MASCULINO,NORTE,RIVER PLATE,27
2025,CADETES MASCULINO,OESTE,PASO DEL REY SOCIAL CLUB,28
2025,CADETES MASCULINO,CENTRO-OESTE,"JOSE HERNANDEZ ""A""",26
2025,CADETES MASCULINO,NORTE,SPORTIVO VILLA BALLESTER,27
2025,CADETES MASCULINO,NORTE,PLATENSE MARRON,27
2025,CADETES MASCULINO,NORTE,CAZA Y PESCA AZUL A,29
2025,CADETES MASCULINO,NORTE,CLUB SOCIAL Y DEPORTIVO ARENAL,29
2025,CADETES MASCULINO,CENTRO,PINOCHO BLANCO,27
2025,CADETES MASCULINO,NORTE,BELLA VISTA,30
2025,CADETES MASCULINO,SUR,GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B,26
2025,CADETES MASCULINO,SUR,CLUB  ATLETICO Y PROGRESO DE BRANDSEN,24
2025,CADETES MASCULINO,OESTE,DEFENSORES DE SANTOS LUGARES,28
2025,CADETES MASCULINO,CENTRO-OESTE,VELEZ SARSFIELD AZUL - B,26
2025,CADETES MASCULINO,NORTE,UNION FLORIDA,28
2025,CADETES MASCULINO,NORTE,CENTRO GALICIA,28
2025,CADETES MASCULINO,SUR,TALLERES,26
2025,CADETES MASCULINO,OESTE,INDIOS U15 BLANCO,28
2025,CADETES MASCULINO,NORTE,CIUDAD DE BUENOS AIRES AZUL A,32
2025,CADETES MASCULINO,OESTE,GEVP CELESTE B,26
2025,CADETES MASCULINO,CENTRO,FERROCARRIL OESTE NARANJA (C),26
2025,CADETES MASCULINO,CENTRO,CIRCULO URQUIZA,29
2025,CADETES MASCULINO,SUR,CLUB SOCIAL EZEIZA,26
2025,CADETES MASCULINO,SUR,JUVENTUD UNIDA,28
2025,CADETES MASCULINO,OESTE,DEFENSORES DE HURLINGHAM VERDE A,15
2025,CADETES MASCULINO,SUR,LUZ Y ARTE,26
2025,CADETES MASCULINO,NORTE,UNION VECINAL DE MUNRO,27
2025,CADETES MASCULINO,OESTE,C.A.S.A PADUA A,16
2025,CADETES MASCULINO,OESTE,CIUDADELA NORTE,27
2025,CADETES MASCULINO,NORTE,BANCO NACION AZUL A,29
2025,CADETES MASCULINO,OESTE,PORTEÑO BLANCO B,25
2025,CADETES MASCULINO,CENTRO,SAN LORENZO ROJO B,26
2025,CADETES MASCULINO,OESTE,ITALIANO DE JOSE C PAZ,28
2025,CADETES MASCULINO,SUR,"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",27
2025,CADETES MASCULINO,CENTRO,FERROCARRIL OESTE BLANCO (B),27
2025,CADETES MASCULINO,SUR,LANUS B,24
2025,CADETES MASCULINO,SUR,BURZACO FC AZUL A,29
2025,CADETES MASCULINO,CENTRO,CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,27
2025,CADETES MASCULINO,OESTE,RAMOS MEJIA LTC,27
2025,CADETES MASCULINO,CENTRO,IMPERIO NEGRO B,26
2025,CADETES MASCULINO,CENTRO,UNIVERSIDAD DE LA MATANZA,26
2025,CADETES MASCULINO,OESTE,LEANDRO N ALEM,14
2025,CADETES MASCULINO,OESTE,GEVP BLANCO A,28
2025,CADETES MASCULINO,SUR,C.S.D.Y C. MORENO,26
2025,CADETES MASCULINO,SUR,DEFENSORES DE GLEW,25
2025,CADETES MASCULINO,OESTE,C.A.S.A PADUA B,30
2025,CADETES MASCULINO,SUR,VARELA JRS,28
2025,CADETES MASCULINO,CENTRO,ARQUITECTURA BLANCO  B,26
2025,CADETES MASCULINO,SUR,INDEPENDIENTE DE BURZACO,26
2025,CADETES MASCULINO,NORTE,"NAUTICO HACOAJ AZUL ""B""",27
2025,CADETES MASCULINO,NORTE,SAN FERNANDO BLANCO (B),29
2025,CADETES MASCULINO,NORTE,CLUB 3 DE FEBRERO BLANCO A,30
2025,CADETES MASCULINO,NORTE,COPELLO,28
2025,CADETES MASCULINO,SUR,QUILMES A.C.,27
2025,CADETES MASCULINO,OESTE,HURACAN DE SAN JUSTO ROJO,28
2025,CADETES MASCULINO,OESTE,DEFENSORES DE HURLINGHAM  BLANCO B,28
2025,CADETES MASCULINO,OESTE,CLUB CEPA,30
2025,CADETES MASCULINO,SUR,COOPERARIOS,24
2025,CADETES MASCULINO,OESTE,DEFENSORES DE MORENO NEGRO,27
2025,CADETES MASCULINO,CENTRO,YUPANQUI,26
2025,CADETES MASCULINO,NORTE,CLUB ATLETICO PILAR,28
2025,CADETES MASCULINO,NORTE,17 DE AGOSTO,28
2025,CADETES MASCULINO,SUR,CAÑUELAS FC,12
2025,CADETES MASCULINO,SUR,GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA,28
2025,CADETES MASCULINO,SUR,BERAZATEGUI,15
2025,CADETES MASCULINO,OESTE,CEDEM,28
2025,CADETES MASCULINO,OESTE,PORTEÑO AZUL A,14
2025,CADETES MASCULINO,SUR,INDEPENDIENTE,26
2025,CADETES MASCULINO,NORTE,PRESIDENTE DERQUI,28
2025,CADETES MASCULINO,SUR,TRISTAN SUAREZ,26
2025,CADETES MASCULINO,NORTE,BANADE ROJO,28
2025,CADETES MASCULINO,SUR,VILLEGAS BASQUET,28
2025,CADETES MASCULINO,NORTE,CLUB SPORTIVO PILAR,30
2025,CADETES MASCULINO,NORTE,BANCO PROVINCIA,30
2025,CADETES MASCULINO,CENTRO,"JOSE HERNANDEZ ""B""",26
2025,CADETES MASCULINO,NORTE,CAZA Y PESCA BLANCO B,28
2025,CADETES MASCULINO,NORTE,HARRODS GATH Y CHAVES,30
2025,CADETES MASCULINO,SUR,COLON FC,27
2025,CADETES MASCULINO,SUR,MONTE GRANDE B NEGRO,24
2025,CADETES MASCULINO,OESTE,VELEZ SARSFIELD BLANCO - A,29
2025,CADETES MASCULINO,SUR,"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",25
2025,CADETES MASCULINO,SUR,GUILLON BASQUET,26
2025,CADETES MASCULINO,OESTE,CLUB PORTUGUES DEL GRAN BUENOS AIRES,28
2025,CADETES MASCULINO,SUR,TEMPERLEY,28
2025,CADETES MASCULINO,OESTE,MORON ROJO,29
2025,CADETES MASCULINO,SUR,DEFENSORES DE BANFIELD,28
2025,CADETES MASCULINO,NORTE,NAUTICO BUCHARDO B,28
2025,CADETES MASCULINO,SUR,CLUB SOCIAL ALEJANDRO KORN,26
2025,CADETES MASCULINO,NORTE,COOPERATIVA TORTUGUITAS,30
2025,CADETES MASCULINO,CENTRO-OESTE,CLARIDAD,26
2025,CADETES MASCULINO,CENTRO,MACABI,26
2025,CADETES MASCULINO,OESTE,DEP. MORON BLANCO,28
2025,CADETES MASCULINO,SUR,MUNICIPALIDAD DE AVELLANEDA,27
2025,CADETES MASCULINO,OESTE,EL PORVENIR JOSE C. PAZ,28
2025,CADETES MASCULINO,NORTE,SOCIAL BECCAR,29
2025,CADETES MASCULINO,NORTE,COLEGIALES BLANCO,26
2025,CADETES MASCULINO,NORTE,OBRAS BASKET,32
2025,CADETES MASCULINO,OESTE,A.F.A.L.P. A,28
2025,CADETES MASCULINO,SUR,ARGENTINO DE QUILMES,24
2025,CADETES MASCULINO,CENTRO-OESTE,ESTRELLA DE BOEDO,26
2025,CADETES MASCULINO,CENTRO,ITALIANO B,28
2025,CADETES MASCULINO,OESTE,ARGENTINO DE CASTELAR NORTE A,28
2025,CADETES MASCULINO,SUR,CLUB ATLETICO BERNAL,25
2025,CADETES MASCULINO,CENTRO,FERROCARRIL OESTE VERDE (A),26
2025,CADETES MASCULINO,NORTE,PLATENSE BLANCO,28
2025,CADETES MASCULINO,SUR,LANUS A,28
2025,CADETES MASCULINO,NORTE,CLUB 3 DE FEBRERO AZUL B,26
2025,CADETES MASCULINO,NORTE,CIUDAD DE BUENOS AIRES BLANCO B,28
2025,CADETES MASCULINO,SUR,WILDE SPORTING,27
2025,CADETES MASCULINO,CENTRO,ARGENTINOS JUNIORS,26
2025,CADETES MASCULINO,SUR,MONTE GRANDE A  ROJO,29
2025,CADETES MASCULINO,OESTE,ESTUDIANTIL PORTEÑO B,30
2025,CADETES MASCULINO,OESTE,ARGENTINO DE CASTELAR CENTRO B,28
2025,CADETES MASCULINO,OESTE,DEP. MORON ROJO,26
2025,CADETES MASCULINO,CENTRO-OESTE,"DEPORTIVO CROVARA  ""A""",26
2025,CADETES MASCULINO,SUR,SOCIAL LANUS,26
2025,CADETES MASCULINO,SUR,CLUB EL FOGON,24
2025,CADETES MASCULINO,SUR,CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,24
2025,CADETES MASCULINO,OESTE,MORON BLANCO,27
2025,CADETES MASCULINO,NORTE,"VICTORIA NEGRO ""A""",28
2025,CADETES MASCULINO,OESTE,NOLTING,28
2025,CADETES MASCULINO,NORTE,HEBRAICA,25
2025,CADETES MASCULINO,NORTE,U.V.V.A UNION VECINAL VILLA ADELINA,30
2025,CADETES MASCULINO,SUR,SPORTIVO ALSINA,30
2025,CADETES MASCULINO,CENTRO,NUEVA CHICAGO,25
2025,CADETES MASCULINO,SUR,VILLA ESPAÑA,27
2025,CADETES MASCULINO,OESTE,CENTRO ESPAÑOL,29
2025,CADETES MASCULINO,NORTE,NAUTICO BUCHARDO A,28
2025,CADETES MASCULINO,CENTRO,JUVENCIA,27
2025,CADETES MASCULINO,CENTRO,ALL BOYS DE SAAVEDRA,26
2025,CADETES MASCULINO,SUR,BOCA JUNIORS AMARILLO,26
2025,CADETES MASCULINO,OESTE,INSTITUCION SARMIENTO VERDE A,29
2025,CADETES MASCULINO,NORTE,"VICTORIA BLANCO ""B""",28
2025,CADETES MASCULINO,SUR,LOBOS ATHLETIC CLUB,13
2025,CADETES MASCULINO,NORTE,SAN FERNANDO AZUL (A),30
2025,CADETES MASCULINO,OESTE,EL PALOMAR,30
2025,CADETES MASCULINO,SUR,COUNTRY BANFIELD A,28
2025,CADETES MASCULINO,OESTE,CLUB GEI BLANCO (B),29
2025,CADETES MASCULINO,SUR,RACING CLUB,12
2025,CADETES MASCULINO,OESTE,HURACAN DE SAN JUSTO BLANCO,26
2025,CADETES MASCULINO,NORTE,ATLETICO BOULOGNE,28
2025,CADETES MASCULINO,OESTE,SAN MIGUEL BLANCO,26
2025,CADETES MASCULINO,OESTE,CLUB GEI AZUL (A),28
2025,CADETES MASCULINO,SUR,BURZACO FC ROJO B,25
2025,CADETES MASCULINO,OESTE,DEFENSORES DE MORENO ROJO,25
2025,CADETES MASCULINO,SUR,COUNTRY BANFIELD B,24
2025,CADETES MASCULINO,OESTE,INDIOS U15 NEGRO,29
2025,CADETES MASCULINO,CENTRO,VILLA MITRE,26
2025,CADETES MASCULINO,OESTE,SAN MIGUEL VERDE,28
2025,CADETES MASCULINO,OESTE,ATENEO POPULAR VERSAILLES,29
2025,CADETES MASCULINO,NORTE,INDEPENDIENTE DE ESCOBAR,26
2025,CADETES MASCULINO,OESTE,UNITARIOS DE MARCOS PAZ,28
2025,CADETES MASCULINO,SUR,LA UNION,23
2025,CADETES MASCULINO,OESTE,ESTUDIANTIL PORTEÑO A,30
2025,CADETES MASCULINO,CENTRO,ALDO BONZI,26
2025,CADETES MASCULINO,OESTE,ARGENTINO DE CASTELAR SUR C,26
2025,CADETES MASCULINO,SUR,BOCA JUNIORS A,32
2025,CADETES MASCULINO,CENTRO,PEDRO ECHAGUE AMARILLO B,25
2025,CADETES MASCULINO,CENTRO,GEBA,26
2025,CADETES MASCULINO,CENTRO,IMPERIO BLANCO A,26
2025,CADETES MASCULINO,OESTE,MIDLAND,28
2025,CADETES MASCULINO,CENTRO,COLEGIALES NEGRO,26
2025,CADETES MASCULINO,NORTE,LAS HERAS A,28
2025,CADETES MASCULINO,CENTRO,EL TALAR,26
2025,CADETES MASCULINO,CENTRO,PEDRO ECHAGUE AZUL A,28
2025,CADETES MASCULINO,CENTRO,RACING ANEXO,26
2025,CADETES MASCULINO,OESTE,SITAS,29
2025,CADETES MASCULINO,CENTRO,ARQUITECTURA NEGRO  A,26
