anio,categoria,partidos,fases,rondas,niveles,zonas,n_zonas,n_fases,n_niveles
2025,CADETES MASCULINO,2503,FASE REGULAR | PLAYOFF,2DA FASE | COPA FEBAMBA | CUARTOS DE FINAL | FINAL | SEMIFINAL | TRIANGULAR FINAL,1 | 2 | 3 | DESCONOCIDO | INTERCONFERENCIA | INTERCONFERENCIA A | INTERCONFERENCIA B | NIVELACION,CENTRO | CENTRO-OESTE | INTERCONFERENCIA | NORTE | OESTE | SUR,6,2,8
2025,INFANTILES MASCULINO,2457,FASE REGULAR | PLAYOFF,2DA FASE | COPA FEBAMBA | CUARTOS DE FINAL | FINAL | SEMIFINAL | TRIANGULAR FINAL,1 | 2 | 3 | DESCONOCIDO | INTERCONFERENCIA | INTERCONFERENCIA A | INTERCONFERENCIA B | NIVELACION,CENTRO | CENTRO-OESTE | INTERCONFERENCIA | NORTE | OESTE | SUR,6,2,8
2025,JUVENILES MASCULINO,2473,FASE REGULAR | PLAYOFF,2DA FASE | COPA FEBAMBA | CUARTOS DE FINAL | FINAL | SEMIFINAL | TRIANGULAR FINAL,1 | 2 | 3 | DESCONOCIDO | INTERCONFERENCIA | INTERCONFERENCIA A | INTERCONFERENCIA B | NIVELACION,CENTRO | CENTRO-OESTE | INTERCONFERENCIA | NORTE | OESTE | SUR,6,2,8
2025,LIGA PROXIMO MASCULINO,2514,FASE REGULAR | PLAYOFF,2DA FASE | COPA FEBAMBA | CUARTOS DE FINAL | FINAL | SEMIFINAL | TRIANGULAR FINAL,1 | 2 | 3 | DESCONOCIDO | INTERCONFERENCIA | INTERCONFERENCIA A | INTERCONFERENCIA B | NIVELACION,CENTRO | CENTRO-OESTE | INTERCONFERENCIA | NORTE | OESTE | SUR,6,2,8
2025,MINI,2289,FASE REGULAR,2DA FASE | COPA FEBAMBA,1 | 2 | 3 | INTERCONFERENCIA A | INTERCONFERENCIA B | NIVELACION,CENTRO | CENTRO-OESTE | INTERCONFERENCIA | NORTE | OESTE | SUR,6,1,6
2025,PREMINI,2158,FASE REGULAR,2DA FASE | COPA FEBAMBA,1 | 2 | 3 | INTERCONFERENCIA A | INTERCONFERENCIA B | NIVELACION,CENTRO | CENTRO-OESTE | INTERCONFERENCIA | NORTE | OESTE | SUR,6,1,6
2026,CADETES MASCULINO,549,FASE REGULAR,TORNEO CLASIFICACION | TORNEO RECLASIFICATORIO,CLASIFICACION | RECLASIFICACION,CENTRO | NORTE | OESTE | SUR,4,1,2
2026,INFANTILES MASCULINO,582,FASE REGULAR,TORNEO CLASIFICACION | TORNEO RECLASIFICATORIO,CLASIFICACION | RECLASIFICACION,CENTRO | NORTE | OESTE | SUR,4,1,2
2026,JUVENILES MASCULINO,549,FASE REGULAR,TORNEO CLASIFICACION | TORNEO RECLASIFICATORIO,CLASIFICACION | RECLASIFICACION,CENTRO | NORTE | OESTE | SUR,4,1,2
2026,LIGA PROXIMO MASCULINO,546,FASE REGULAR,TORNEO CLASIFICACION | TORNEO RECLASIFICATORIO,CLASIFICACION | RECLASIFICACION,CENTRO | NORTE | OESTE | SUR,4,1,2
2026,MINI,582,FASE REGULAR,TORNEO CLASIFICACION | TORNEO RECLASIFICATORIO,CLASIFICACION | RECLASIFICACION,CENTRO | NORTE | OESTE | SUR,4,1,2
2026,PREMINI,670,FASE REGULAR,TORNEO CLASIFICACION | TORNEO RECLASIFICATORIO,CLASIFICACION | RECLASIFICACION,CENTRO | NORTE | OESTE | SUR,4,1,2
