categoria,anio_anterior,anio_actual,equipo,movimiento,zona_anterior,zona_actual
CADETES MASCULINO,2025,2026,3 DE FEBRERO AZUL B,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,3 DE FEBRERO BLANCO A,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,3 DE FEBRERO CELESTE C,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,ALL BOYS NEGRO,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,ARQUITECTURA BLANCO B,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,ARQUITECTURA NEGRO A,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,ATLETICO PILAR,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,BECCAR AZUL,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,BOCA JUNIORS AMARILLO B,NUEVO,,SUR
CADETES MASCULINO,2025,2026,BOCA JUNIORS AZUL A,NUEVO,,SUR
CADETES MASCULINO,2025,2026,BURZACO FC A,NUEVO,,SUR
CADETES MASCULINO,2025,2026,C.A.S.A. PADUA B,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,CAZA Y PESCA VERDE B,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES A AZUL,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES B BLANCO,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,CLUB ATENEO INGENIERO RAVER,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,CLUB ATLETICO 9 DE JULIO DE LANUS,NUEVO,,SUR
CADETES MASCULINO,2025,2026,CLUB GEI GRIS(C),NUEVO,,OESTE
CADETES MASCULINO,2025,2026,COMUNICACIONES AMARILLO A,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,COMUNICACIONES NEGRO B,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM BLANCO,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM VERDE,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,DEFENSORES DE MORENO,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,DEPORTIVO MORON A,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,EL FOGON,NUEVO,,SUR
CADETES MASCULINO,2025,2026,"ESTUDIANTIL PORTEÑO  ""A""",NUEVO,,OESTE
CADETES MASCULINO,2025,2026,EZEIZA,NUEVO,,SUR
CADETES MASCULINO,2025,2026,FERROCARRIL OESTE BLANCA,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,FERROCARRIL OESTE NARANJA,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,FERROCARRIL OESTE VERDE,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,GIMNASIA Y ESGRIMA LA PLATA A,NUEVO,,SUR
CADETES MASCULINO,2025,2026,GIMNASIA Y ESGRIMA LA PLATA B,NUEVO,,SUR
CADETES MASCULINO,2025,2026,LOBOS  CADETES,NUEVO,,SUR
CADETES MASCULINO,2025,2026,LOS INDIOS CADETES A,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,LOS INDIOS CADETES B,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,MONTE GRANDE ROJO A,NUEVO,,SUR
CADETES MASCULINO,2025,2026,MORON BLANCO B,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,MORON ROJO A,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,MUNICIPALIDAD DE HURLINGHAM,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,PASO DEL REY,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,PEDRO ECHAGUE AMARILLO,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,PEDRO ECHAGUE AZUL,NUEVO,,CENTRO
CADETES MASCULINO,2025,2026,PORTEÑO ATLETICO CLUB  AZUL,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,PORTEÑO ATLETICO CLUB  B,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,PORTUGUES DEL GRAN BUENOS AIRES,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,QUILMES ATLETICO CLUB,NUEVO,,SUR
CADETES MASCULINO,2025,2026,SAN FERNANDO AZUL,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,SAN FERNANDO BLANCO,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,SITAS ROJO,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,SITAS VERDE,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,SPORTIVO PILAR BLANCO B,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,SPORTIVO PILAR CADETES,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,TAMBEROS UNIDOS,NUEVO,,SUR
CADETES MASCULINO,2025,2026,U15  DEPORTIVO MORON B,NUEVO,,OESTE
CADETES MASCULINO,2025,2026,UNION VILLEGAS,NUEVO,,SUR
CADETES MASCULINO,2025,2026,VICTORIA BLANCO,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,VICTORIA NEGRO,NUEVO,,NORTE
CADETES MASCULINO,2025,2026,ARGENTINO DE QUILMES,BAJA,SUR,
CADETES MASCULINO,2025,2026,ARQUITECTURA BLANCO  B,BAJA,CENTRO,
CADETES MASCULINO,2025,2026,ARQUITECTURA NEGRO  A,BAJA,CENTRO,
CADETES MASCULINO,2025,2026,BOCA JUNIORS A,BAJA,SUR,
CADETES MASCULINO,2025,2026,BOCA JUNIORS AMARILLO,BAJA,SUR,
CADETES MASCULINO,2025,2026,BURZACO FC AZUL A,BAJA,SUR,
CADETES MASCULINO,2025,2026,BURZACO FC ROJO B,BAJA,SUR,
CADETES MASCULINO,2025,2026,C.A.S.A PADUA B,BAJA,OESTE,
CADETES MASCULINO,2025,2026,CAZA Y PESCA BLANCO B,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES AZUL A,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES BLANCO B,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,BAJA,SUR,
CADETES MASCULINO,2025,2026,CLUB 3 DE FEBRERO AZUL B,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CLUB 3 DE FEBRERO BLANCO A,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CLUB 3 DE FEBRERO CELESTE C,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CLUB ATLETICO PILAR,BAJA,NORTE,
CADETES MASCULINO,2025,2026,CLUB EL FOGON,BAJA,SUR,
CADETES MASCULINO,2025,2026,"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",BAJA,SUR,
CADETES MASCULINO,2025,2026,"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",BAJA,SUR,
CADETES MASCULINO,2025,2026,CLUB PORTUGUES DEL GRAN BUENOS AIRES,BAJA,OESTE,
CADETES MASCULINO,2025,2026,CLUB SOCIAL EZEIZA,BAJA,SUR,
CADETES MASCULINO,2025,2026,CLUB SOCIAL Y DEPORTIVO NAHUEL,BAJA,SUR,
CADETES MASCULINO,2025,2026,CLUB SPORTIVO PILAR,BAJA,NORTE,
CADETES MASCULINO,2025,2026,COMUNICACIONES,BAJA,NORTE,
CADETES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM  BLANCO B,BAJA,OESTE,
CADETES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM VERDE A,BAJA,OESTE,
CADETES MASCULINO,2025,2026,DEFENSORES DE MORENO NEGRO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,DEFENSORES DE MORENO ROJO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,DEP. MORON BLANCO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,DEP. MORON ROJO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,ESTUDIANTIL PORTEÑO A,BAJA,OESTE,
CADETES MASCULINO,2025,2026,FERROCARRIL OESTE BLANCO (B),BAJA,CENTRO,
CADETES MASCULINO,2025,2026,FERROCARRIL OESTE NARANJA (C),BAJA,CENTRO,
CADETES MASCULINO,2025,2026,FERROCARRIL OESTE VERDE (A),BAJA,CENTRO,
CADETES MASCULINO,2025,2026,INDIOS U15 BLANCO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,INDIOS U15 NEGRO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,LOBOS ATHLETIC CLUB,BAJA,SUR,
CADETES MASCULINO,2025,2026,MONTE GRANDE A  ROJO,BAJA,SUR,
CADETES MASCULINO,2025,2026,MORON BLANCO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,MORON ROJO,BAJA,OESTE,
CADETES MASCULINO,2025,2026,PASO DEL REY SOCIAL CLUB,BAJA,OESTE,
CADETES MASCULINO,2025,2026,PEDRO ECHAGUE AMARILLO B,BAJA,CENTRO,
CADETES MASCULINO,2025,2026,PEDRO ECHAGUE AZUL A,BAJA,CENTRO,
CADETES MASCULINO,2025,2026,PORTEÑO AZUL A,BAJA,OESTE,
CADETES MASCULINO,2025,2026,PORTEÑO BLANCO B,BAJA,OESTE,
CADETES MASCULINO,2025,2026,QUILMES A.C.,BAJA,SUR,
CADETES MASCULINO,2025,2026,SAN FERNANDO AZUL (A),BAJA,NORTE,
CADETES MASCULINO,2025,2026,SAN FERNANDO BLANCO (B),BAJA,NORTE,
CADETES MASCULINO,2025,2026,SITAS,BAJA,OESTE,
CADETES MASCULINO,2025,2026,"VICTORIA BLANCO ""B""",BAJA,NORTE,
CADETES MASCULINO,2025,2026,"VICTORIA NEGRO ""A""",BAJA,NORTE,
CADETES MASCULINO,2025,2026,VILLEGAS BASQUET,BAJA,SUR,
CADETES MASCULINO,2025,2026,ARMENIA,CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,ATENEO POPULAR VERSAILLES,CAMBIO_REGION,OESTE,CENTRO
CADETES MASCULINO,2025,2026,CLARIDAD,CAMBIO_REGION,CENTRO-OESTE,OESTE
CADETES MASCULINO,2025,2026,COLEGIALES BLANCO,CAMBIO_REGION,NORTE,CENTRO
CADETES MASCULINO,2025,2026,COLEGIALES NEGRO,CAMBIO_REGION,CENTRO,NORTE
CADETES MASCULINO,2025,2026,COPELLO,CAMBIO_REGION,NORTE,CENTRO
CADETES MASCULINO,2025,2026,"DEPORTIVO CROVARA  ""A""",CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,EL TALAR,CAMBIO_REGION,CENTRO,NORTE
CADETES MASCULINO,2025,2026,ESTRELLA DE BOEDO,CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,GEVP BLANCO A,CAMBIO_REGION,OESTE,NORTE
CADETES MASCULINO,2025,2026,GEVP CELESTE B,CAMBIO_REGION,OESTE,CENTRO
