categoria,anio_anterior,anio_actual,movimiento,cantidad
CADETES MASCULINO,2025,2026,BAJA,52
CADETES MASCULINO,2025,2026,CAMBIO_REGION,17
CADETES MASCULINO,2025,2026,NUEVO,57
INFANTILES MASCULINO,2025,2026,BAJA,54
INFANTILES MASCULINO,2025,2026,CAMBIO_REGION,18
INFANTILES MASCULINO,2025,2026,NUEVO,59
JUVENILES MASCULINO,2025,2026,BAJA,54
JUVENILES MASCULINO,2025,2026,CAMBIO_REGION,17
JUVENILES MASCULINO,2025,2026,NUEVO,59
LIGA PROXIMO MASCULINO,2025,2026,BAJA,54
LIGA PROXIMO MASCULINO,2025,2026,CAMBIO_REGION,17
LIGA PROXIMO MASCULINO,2025,2026,NUEVO,59
MINI,2025,2026,BAJA,51
MINI,2025,2026,CAMBIO_REGION,18
MINI,2025,2026,NUEVO,57
PREMINI,2025,2026,BAJA,51
PREMINI,2025,2026,CAMBIO_REGION,19
PREMINI,2025,2026,NUEVO,57
