anio,categoria,zona,equipos_distintos
2025,CADETES MASCULINO,CENTRO,33
2025,CADETES MASCULINO,CENTRO-OESTE,6
2025,CADETES MASCULINO,NORTE,48
2025,CADETES MASCULINO,OESTE,49
2025,CADETES MASCULINO,SUR,52
2025,INFANTILES MASCULINO,CENTRO,33
2025,INFANTILES MASCULINO,CENTRO-OESTE,6
2025,INFANTILES MASCULINO,NORTE,48
2025,INFANTILES MASCULINO,OESTE,49
2025,INFANTILES MASCULINO,SUR,52
2025,JUVENILES MASCULINO,CENTRO,33
2025,JUVENILES MASCULINO,CENTRO-OESTE,6
2025,JUVENILES MASCULINO,NORTE,48
2025,JUVENILES MASCULINO,OESTE,49
2025,JUVENILES MASCULINO,SUR,52
2025,LIGA PROXIMO MASCULINO,CENTRO,33
2025,LIGA PROXIMO MASCULINO,CENTRO-OESTE,6
2025,LIGA PROXIMO MASCULINO,NORTE,48
2025,LIGA PROXIMO MASCULINO,OESTE,49
2025,LIGA PROXIMO MASCULINO,SUR,52
2025,MINI,CENTRO,33
2025,MINI,CENTRO-OESTE,6
2025,MINI,NORTE,48
2025,MINI,OESTE,49
2025,MINI,SUR,51
2025,PREMINI,CENTRO,32
2025,PREMINI,CENTRO-OESTE,7
2025,PREMINI,NORTE,48
2025,PREMINI,OESTE,49
2025,PREMINI,SUR,51
2026,CADETES MASCULINO,CENTRO,44
2026,CADETES MASCULINO,NORTE,48
2026,CADETES MASCULINO,OESTE,51
2026,CADETES MASCULINO,SUR,50
2026,INFANTILES MASCULINO,CENTRO,44
2026,INFANTILES MASCULINO,NORTE,48
2026,INFANTILES MASCULINO,OESTE,51
2026,INFANTILES MASCULINO,SUR,50
2026,JUVENILES MASCULINO,CENTRO,44
2026,JUVENILES MASCULINO,NORTE,48
2026,JUVENILES MASCULINO,OESTE,51
2026,JUVENILES MASCULINO,SUR,50
2026,LIGA PROXIMO MASCULINO,CENTRO,44
2026,LIGA PROXIMO MASCULINO,NORTE,48
2026,LIGA PROXIMO MASCULINO,OESTE,51
2026,LIGA PROXIMO MASCULINO,SUR,50
2026,MINI,CENTRO,44
2026,MINI,NORTE,48
2026,MINI,OESTE,51
2026,MINI,SUR,50
2026,PREMINI,CENTRO,44
2026,PREMINI,NORTE,48
2026,PREMINI,OESTE,51
2026,PREMINI,SUR,50
2025,_TODAS_,CENTRO,37
2025,_TODAS_,CENTRO-OESTE,8
2025,_TODAS_,NORTE,49
2025,_TODAS_,OESTE,63
2025,_TODAS_,SUR,55
2026,_TODAS_,CENTRO,49
2026,_TODAS_,NORTE,55
2026,_TODAS_,OESTE,72
2026,_TODAS_,SUR,57
