anio;fecha;categoria;fase;ronda;zona;grupo;jornada;local;ptsL;visitante;ptsV;libre_en;equipo_conocido;candidato_equipo_real;nota;url_torneo_ges
2023;19/3/2023;JUVENILES;Fase Regular;1ra Fase;CENTRO;B;1.0;HARRODS GATH Y CHAVES;136.0;LIBRE;17.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=682
2023;19/3/2023;CADETES;Fase Regular;1ra Fase;CENTRO;B;1.0;HARRODS GATH Y CHAVES;99.0;LIBRE;17.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=682
2023;19/3/2023;INFANTILES;Fase Regular;1ra Fase;CENTRO;B;1.0;HARRODS GATH Y CHAVES;75.0;LIBRE;34.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=682
2023;19/3/2023;PREINFANTILES;Fase Regular;1ra Fase;CENTRO;B;1.0;HARRODS GATH Y CHAVES;84.0;LIBRE;10.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=682
2023;19/3/2023;MINI;Fase Regular;1ra Fase;CENTRO;B;1.0;HARRODS GATH Y CHAVES;109.0;LIBRE;7.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=682
2023;19/3/2023;PREMINI;Fase Regular;1ra Fase;CENTRO;B;1.0;HARRODS GATH Y CHAVES;50.0;LIBRE;2.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=682
2024;28/7/2024;JUVENILES;Fase Regular;3ra Fase;CENTRO;B;1.0;GEVP B;57.0;LIBRE;63.0;visitante;GEVP B;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;JUVENILES;Fase Regular;3ra Fase;CENTRO;B;2.0;HARRODS GATH Y CHAVES;59.0;LIBRE;73.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;JUVENILES;Fase Regular;3ra Fase;OESTE;A;1.0;SAN MIGUEL A;50.0;LIBRE;61.0;visitante;SAN MIGUEL A;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;11/8/2024;JUVENILES;Fase Regular;3ra Fase;NORTE;A;1.0;LIBRE;106.0;VICTORIA B;37.0;local;VICTORIA B;Varios (16): ALL BOYS DE SAAVEDRA, BANADE A, BANADE B, BELLA VISTA, CAZA Y PESCA A;"LIBRE local = cupo libre GES; revisar fixture del grupo en estadísticas";https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;28/7/2024;CADETES;Fase Regular;3ra Fase;CENTRO;B;1.0;GEVP B;43.0;LIBRE;23.0;visitante;GEVP B;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;CADETES;Fase Regular;3ra Fase;CENTRO;B;2.0;HARRODS GATH Y CHAVES;0.0;LIBRE;0.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;CADETES;Fase Regular;3ra Fase;OESTE;A;1.0;SAN MIGUEL A;30.0;LIBRE;70.0;visitante;SAN MIGUEL A;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;28/7/2024;INFANTILES;Fase Regular;3ra Fase;CENTRO;B;1.0;GEVP B;69.0;LIBRE;38.0;visitante;GEVP B;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;INFANTILES;Fase Regular;3ra Fase;CENTRO;B;2.0;HARRODS GATH Y CHAVES;50.0;LIBRE;46.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;INFANTILES;Fase Regular;3ra Fase;OESTE;A;1.0;SAN MIGUEL A;58.0;LIBRE;64.0;visitante;SAN MIGUEL A;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;11/8/2024;INFANTILES;Fase Regular;3ra Fase;NORTE;A;1.0;LIBRE;98.0;VICTORIA B;22.0;local;VICTORIA B;Varios (16): ALL BOYS DE SAAVEDRA, BANADE A, BANADE B, BELLA VISTA, CAZA Y PESCA A;"LIBRE local = cupo libre GES; revisar fixture del grupo en estadísticas";https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;28/7/2024;PREINFANTILES;Fase Regular;3ra Fase;CENTRO;B;1.0;GEVP B;0.0;LIBRE;20.0;visitante;GEVP B;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
2024;4/8/2024;PREINFANTILES;Fase Regular;3ra Fase;CENTRO;B;2.0;HARRODS GATH Y CHAVES;39.0;LIBRE;26.0;visitante;HARRODS GATH Y CHAVES;;LIBRE visitante = rival ausente / no presentación habitual;https://competicionescabb.gesdeportiva.es/competicion.aspx?competencia=1178
