id;club_base;inconsistente;motivo;sugerencia;n_norm_distintos;n_raw_distintos;anios;2023;2024;2025;2026
t0002;A.F.A.L.P.;True;"2 nombres normalizados distintos; 3 textos crudos en distintas temporadas";A.F.A.L.P. A;2;3;2023,2024,2025,2026;A.F.A.L.P. A → A.F.A.L.P. A [mapa] (152) | A.F.A.L.P. B → A.F.A.L.P. B [mapa] (120) | A.F.A.L.P.  B → A.F.A.L.P. B [mapa] (25);A.F.A.L.P. A → A.F.A.L.P. A [mapa] (189) | A.F.A.L.P. B → A.F.A.L.P. B [mapa] (123) | A.F.A.L.P.  B → A.F.A.L.P. B [mapa] (26);A.F.A.L.P. A → A.F.A.L.P. A [mapa] (168);A.F.A.L.P. A → A.F.A.L.P. A [mapa] (30)
t0004;ALL BOYS;True;"2 nombres normalizados distintos; 2 textos crudos en distintas temporadas; cambia el texto en CSV entre años";ALL BOYS A;2;2;2023,2024,2025,2026;ALL BOYS BLANCO → ALL BOYS A [mapa] (154) | ALL BOYS NEGRO → ALL BOYS B [mapa] (124);ALL BOYS BLANCO → ALL BOYS A [mapa] (185) | ALL BOYS NEGRO → ALL BOYS B [mapa] (173);ALL BOYS BLANCO → ALL BOYS A [mapa] (160);ALL BOYS NEGRO → ALL BOYS B [mapa] (39) | ALL BOYS BLANCO → ALL BOYS A [mapa] (36)
t0007;ARGENTINO DE CASTELAR;True;"2 nombres normalizados distintos; 4 textos crudos en distintas temporadas; cambia el texto en CSV entre años";ARGENTINO DE CASTELAR B;2;4;2023,2024,2025,2026;ARGENTINO DE CASTELAR CENTRO → ARGENTINO DE CASTELAR B [mapa] (152) | ARGENTINO DE CASTELAR NORTE → ARGENTINO DE CASTELAR A [mapa] (152);ARGENTINO DE CASTELAR CENTRO → ARGENTINO DE CASTELAR B [mapa] (333) | ARGENTINO DE CASTELAR NORTE → ARGENTINO DE CASTELAR A [mapa] (186);ARGENTINO DE CASTELAR NORTE A → ARGENTINO DE CASTELAR A [mapa] (170) | ARGENTINO DE CASTELAR CENTRO B → ARGENTINO DE CASTELAR B [mapa] (156);ARGENTINO DE CASTELAR CENTRO B → ARGENTINO DE CASTELAR B [mapa] (33) | ARGENTINO DE CASTELAR NORTE A → ARGENTINO DE CASTELAR A [mapa] (30)
t0012;ARQUITECTURA;True;"2 nombres normalizados distintos; 6 textos crudos en distintas temporadas; cambia el texto en CSV entre años";ARQUITECTURA A;2;6;2023,2024,2025,2026;ARQUITECTURA NEGRO → ARQUITECTURA A [mapa] (159);ARQUITECTURA NEGRO → ARQUITECTURA A [mapa] (174) | ARQUITECTURA BLANCO → ARQUITECTURA B [mapa] (169);ARQUITECTURA BLANCO  B → ARQUITECTURA B [mapa] (105) | ARQUITECTURA NEGRO  A → ARQUITECTURA A [mapa] (105) | ARQUITECTURA NEGRO A → ARQUITECTURA A [mapa] (50) | ARQUITECTURA BLANCO → ARQUITECTURA B [mapa] (50);ARQUITECTURA NEGRO A → ARQUITECTURA A [mapa] (36) | ARQUITECTURA BLANCO B → ARQUITECTURA B [mapa] (36)
t0017;BANADE;True;"2 nombres normalizados distintos; 3 textos crudos en distintas temporadas; cambia el texto en CSV entre años";BANADE A;2;3;2023,2024,2025,2026;BANADE → BANADE A [mapa] (146);BANADE → BANADE A [mapa] (181) | BANADE AMARILLO → BANADE B [mapa] (53);BANADE ROJO → BANADE A [mapa] (169);BANADE ROJO → BANADE A [mapa] (30)
t0018;BANCO NACION;True;"2 nombres normalizados distintos; 2 textos crudos en distintas temporadas; cambia el texto en CSV entre años";BANCO NACION A;2;2;2025,2026;—;—;BANCO NACION AZUL A → BANCO NACION A [mapa] (169) | BANCO NACION BLANCO B → BANCO NACION B [mapa] (149);BANCO NACION BLANCO B → BANCO NACION B [mapa] (41) | BANCO NACION AZUL A → BANCO NACION A [mapa] (29)
t0020;BANCO PROVINCIA;True;"2 nombres normalizados distintos; 2 textos crudos en distintas temporadas";BANCO PROVINCIA A;2;2;2023,2024,2025,2026;BANCO PROVINCIA → BANCO PROVINCIA A [mapa] (155) | BANCO PROVINCIA B → BANCO PROVINCIA B [mapa] (147);BANCO PROVINCIA → BANCO PROVINCIA A [mapa] (184);BANCO PROVINCIA → BANCO PROVINCIA A [mapa] (181);BANCO PROVINCIA → BANCO PROVINCIA A [mapa] (36)
t0024;BOCA JUNIORS;True;"2 nombres normalizados distintos; 6 textos crudos en distintas temporadas; cambia el texto en CSV entre años";BOCA JUNIORS A;2;6;2023,2024,2025,2026;"BOCA JUNIORS AZUL → BOCA JUNIORS A [mapa] (150) | BOCA JUNIORS AMARILLO → BOCA JUNIORS B [mapa] (114) | BOCA JUNIORS  ""AMARILLO"" → BOCA JUNIORS B [mapa] (25)";BOCA JUNIORS AZUL → BOCA JUNIORS A [mapa] (183) | BOCA JUNIORS AMARILLO → BOCA JUNIORS B [mapa] (167);BOCA JUNIORS A → BOCA JUNIORS A [mapa] (173) | BOCA JUNIORS AMARILLO → BOCA JUNIORS B [mapa] (154);BOCA JUNIORS AZUL A → BOCA JUNIORS A [mapa] (36) | BOCA JUNIORS AMARILLO B → BOCA JUNIORS B [mapa] (36)
t0025;BURZACO FC;True;"2 nombres normalizados distintos; 7 textos crudos en distintas temporadas; cambia el texto en CSV entre años";BURZACO FC A;2;7;2023,2024,2025,2026;BURZACO FC A → BURZACO FC A [mapa] (144);BURZACO FC A → BURZACO FC A [mapa] (188) | BURZACO FC B → BURZACO FC B [mapa] (143) | BURZACO FC  B → BURZACO FC B [mapa] (21);BURZACO FC ROJO B → BURZACO FC B [mapa] (130) | BURZACO FC Azul A → BURZACO FC A [mapa] (77) | BURZACO FC AZUL A → BURZACO FC A [mapa] (55) | BURZACO FC- AZUL A → BURZACO FC A [mapa] (26);BURZACO FC A → BURZACO FC A [mapa] (35)
t0026;C.A.S.A PADUA;True;"2 nombres normalizados distintos; 2 textos crudos en distintas temporadas";C.A.S.A PADUA A;2;2;2023,2024,2025,2026;C.A.S.A PADUA A → C.A.S.A PADUA A [mapa] (156) | C.A.S.A PADUA B → C.A.S.A PADUA B [mapa] (154);C.A.S.A PADUA A → C.A.S.A PADUA A [mapa] (188) | C.A.S.A PADUA B → C.A.S.A PADUA B [mapa] (178);C.A.S.A PADUA A → C.A.S.A PADUA A [mapa] (177) | C.A.S.A PADUA B → C.A.S.A PADUA B [mapa] (153);C.A.S.A PADUA A → C.A.S.A PADUA A [mapa] (36) | C.A.S.A PADUA B → C.A.S.A PADUA B [mapa] (16)
