caso_id;tipo;club_base;nombre_raw;nombre_norm;en_mapeo;destino_mapeo;partidos;temporadas;sugerencia;nota
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE A;FERROCARRIL OESTE A;False;;348;2023,2024;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE B;FERROCARRIL OESTE B;False;;318;2023,2024;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE C;FERROCARRIL OESTE C;False;;305;2023,2024;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE NARANJA (C);FERROCARRIL OESTE NARANJA (C);False;;157;2025;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE VERDE (A);FERROCARRIL OESTE VERDE (A);False;;157;2025;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE BLANCO (B);FERROCARRIL OESTE BLANCO (B);False;;156;2025;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE VERDE;FERROCARRIL OESTE VERDE;False;;35;2026;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE BLANCO;FERROCARRIL OESTE BLANCO;False;;30;2026;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0001;club_varios_nombres;FERROCARRIL OESTE;FERROCARRIL OESTE NARANJA;FERROCARRIL OESTE NARANJA;False;;13;2026;FERROCARRIL OESTE A;9 nombres normalizados distintos bajo «FERROCARRIL OESTE». Puede ser varias categorías (A/B) o alias sin unificar.
c0002;club_varios_nombres;ARQUITECTURA;ARQUITECTURA NEGRO;ARQUITECTURA NEGRO;False;;333;2023,2024;ARQUITECTURA NEGRO;6 nombres normalizados distintos bajo «ARQUITECTURA». Puede ser varias categorías (A/B) o alias sin unificar.
c0002;club_varios_nombres;ARQUITECTURA;ARQUITECTURA BLANCO;ARQUITECTURA BLANCO;False;;219;2024,2025;ARQUITECTURA NEGRO;6 nombres normalizados distintos bajo «ARQUITECTURA». Puede ser varias categorías (A/B) o alias sin unificar.
c0002;club_varios_nombres;ARQUITECTURA;ARQUITECTURA BLANCO  B;ARQUITECTURA BLANCO  B;False;;105;2025;ARQUITECTURA NEGRO;6 nombres normalizados distintos bajo «ARQUITECTURA». Puede ser varias categorías (A/B) o alias sin unificar.
c0002;club_varios_nombres;ARQUITECTURA;ARQUITECTURA NEGRO  A;ARQUITECTURA NEGRO  A;False;;105;2025;ARQUITECTURA NEGRO;6 nombres normalizados distintos bajo «ARQUITECTURA». Puede ser varias categorías (A/B) o alias sin unificar.
c0002;club_varios_nombres;ARQUITECTURA;ARQUITECTURA NEGRO A;ARQUITECTURA NEGRO A;False;;86;2025,2026;ARQUITECTURA NEGRO;6 nombres normalizados distintos bajo «ARQUITECTURA». Puede ser varias categorías (A/B) o alias sin unificar.
c0002;club_varios_nombres;ARQUITECTURA;ARQUITECTURA BLANCO B;ARQUITECTURA BLANCO B;False;;36;2026;ARQUITECTURA NEGRO;6 nombres normalizados distintos bajo «ARQUITECTURA». Puede ser varias categorías (A/B) o alias sin unificar.
c0003;club_varios_nombres;BOCA JUNIORS;BOCA JUNIORS AMARILLO;BOCA JUNIORS AMARILLO;False;;435;2023,2024,2025;BOCA JUNIORS AMARILLO;5 nombres normalizados distintos bajo «BOCA JUNIORS». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0003;club_varios_nombres;BOCA JUNIORS;BOCA JUNIORS AZUL;BOCA JUNIORS AZUL;False;;333;2023,2024;BOCA JUNIORS AMARILLO;5 nombres normalizados distintos bajo «BOCA JUNIORS». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0003;club_varios_nombres;BOCA JUNIORS;BOCA JUNIORS A;BOCA JUNIORS A;False;;173;2025;BOCA JUNIORS AMARILLO;5 nombres normalizados distintos bajo «BOCA JUNIORS». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0003;club_varios_nombres;BOCA JUNIORS;BOCA JUNIORS AMARILLO B;BOCA JUNIORS AMARILLO B;False;;36;2026;BOCA JUNIORS AMARILLO;5 nombres normalizados distintos bajo «BOCA JUNIORS». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0003;club_varios_nombres;BOCA JUNIORS;BOCA JUNIORS AZUL A;BOCA JUNIORS AZUL A;False;;36;2026;BOCA JUNIORS AMARILLO;5 nombres normalizados distintos bajo «BOCA JUNIORS». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0003;club_varios_nombres;BOCA JUNIORS;"BOCA JUNIORS  ""AMARILLO""";BOCA JUNIORS AMARILLO;True;BOCA JUNIORS AMARILLO;25;2023;BOCA JUNIORS AMARILLO;5 nombres normalizados distintos bajo «BOCA JUNIORS». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0004;club_varios_nombres;BURZACO FC;BURZACO FC A;BURZACO FC A;False;;367;2023,2024,2026;BURZACO FC A;4 nombres normalizados distintos bajo «BURZACO FC». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0004;club_varios_nombres;BURZACO FC;BURZACO FC B;BURZACO FC B;False;;143;2024;BURZACO FC A;4 nombres normalizados distintos bajo «BURZACO FC». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0004;club_varios_nombres;BURZACO FC;BURZACO FC ROJO B;BURZACO FC ROJO B;False;;130;2025;BURZACO FC A;4 nombres normalizados distintos bajo «BURZACO FC». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0004;club_varios_nombres;BURZACO FC;BURZACO FC Azul A;BURZACO FC Azul A;False;;77;2025;BURZACO FC A;4 nombres normalizados distintos bajo «BURZACO FC». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0004;club_varios_nombres;BURZACO FC;BURZACO FC AZUL A;BURZACO FC AZUL A;False;;55;2025;BURZACO FC A;4 nombres normalizados distintos bajo «BURZACO FC». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0004;club_varios_nombres;BURZACO FC;BURZACO FC  B;BURZACO FC B;True;BURZACO FC B;21;2024;BURZACO FC A;4 nombres normalizados distintos bajo «BURZACO FC». Puede ser varias categorías (A/B) o alias sin unificar. 5 variantes sin entrada en equipos_map.
c0005;club_varios_nombres;MORON;MORON A;MORON A;False;;328;2023,2024;MORON A;6 nombres normalizados distintos bajo «MORON». Puede ser varias categorías (A/B) o alias sin unificar.
c0005;club_varios_nombres;MORON;MORON B;MORON B;False;;295;2023,2024;MORON A;6 nombres normalizados distintos bajo «MORON». Puede ser varias categorías (A/B) o alias sin unificar.
