anio;zona;equipos;categoria
2023;CENTRO;49;_TODAS_
2023;NORTE;36;_TODAS_
2023;OESTE;41;_TODAS_
2023;SUR;47;_TODAS_
2024;CENTRO;50;_TODAS_
2024;NORTE;45;_TODAS_
2024;OESTE;46;_TODAS_
2024;SUR;53;_TODAS_
2025;CENTRO;38;_TODAS_
2025;NORTE;49;_TODAS_
2025;OESTE;50;_TODAS_
2025;SUR;53;_TODAS_
2026;CENTRO;44;_TODAS_
2026;NORTE;48;_TODAS_
2026;OESTE;51;_TODAS_
2026;SUR;50;_TODAS_
2023;CENTRO;49;CADETES
2023;NORTE;36;CADETES
2023;OESTE;41;CADETES
2023;SUR;47;CADETES
2023;CENTRO;49;INFANTILES
2023;NORTE;36;INFANTILES
2023;OESTE;41;INFANTILES
2023;SUR;47;INFANTILES
2023;CENTRO;49;JUVENILES
2023;NORTE;36;JUVENILES
2023;OESTE;41;JUVENILES
2023;SUR;47;JUVENILES
2023;CENTRO;49;MINI
2023;NORTE;36;MINI
2023;OESTE;41;MINI
2023;SUR;47;MINI
2023;CENTRO;49;PREINFANTILES
2023;NORTE;36;PREINFANTILES
2023;OESTE;41;PREINFANTILES
2023;SUR;47;PREINFANTILES
2023;CENTRO;49;PREMINI
2023;NORTE;36;PREMINI
2023;OESTE;41;PREMINI
2023;SUR;47;PREMINI
2024;CENTRO;51;CADETES
2024;NORTE;44;CADETES
2024;OESTE;46;CADETES
2024;SUR;52;CADETES
2024;CENTRO;51;INFANTILES
2024;NORTE;44;INFANTILES
2024;OESTE;46;INFANTILES
2024;SUR;52;INFANTILES
2024;CENTRO;51;JUVENILES
2024;NORTE;44;JUVENILES
2024;OESTE;46;JUVENILES
2024;SUR;51;JUVENILES
2024;CENTRO;50;MINI
2024;NORTE;44;MINI
2024;OESTE;46;MINI
2024;SUR;51;MINI
2024;CENTRO;51;PREINFANTILES
2024;NORTE;44;PREINFANTILES
2024;OESTE;46;PREINFANTILES
2024;SUR;53;PREINFANTILES
2024;CENTRO;50;PREMINI
2024;NORTE;41;PREMINI
2024;OESTE;46;PREMINI
2024;SUR;50;PREMINI
2025;CENTRO;38;CADETES MASCULINO
2025;NORTE;48;CADETES MASCULINO
2025;OESTE;50;CADETES MASCULINO
2025;SUR;52;CADETES MASCULINO
2025;CENTRO;38;INFANTILES MASCULINO
2025;NORTE;48;INFANTILES MASCULINO
2025;OESTE;50;INFANTILES MASCULINO
2025;SUR;52;INFANTILES MASCULINO
2025;CENTRO;38;JUVENILES MASCULINO
2025;NORTE;48;JUVENILES MASCULINO
2025;OESTE;50;JUVENILES MASCULINO
2025;SUR;52;JUVENILES MASCULINO
2025;CENTRO;38;LIGA PROXIMO MASCULINO
2025;NORTE;48;LIGA PROXIMO MASCULINO
2025;OESTE;50;LIGA PROXIMO MASCULINO
2025;SUR;52;LIGA PROXIMO MASCULINO
2025;CENTRO;38;MINI
2025;NORTE;48;MINI
2025;OESTE;50;MINI
2025;SUR;51;MINI
2025;CENTRO;38;PREMINI
2025;NORTE;48;PREMINI
2025;OESTE;50;PREMINI
2025;SUR;51;PREMINI
2026;CENTRO;44;CADETES MASCULINO
2026;NORTE;48;CADETES MASCULINO
2026;OESTE;51;CADETES MASCULINO
2026;SUR;50;CADETES MASCULINO
2026;CENTRO;44;INFANTILES MASCULINO
2026;NORTE;48;INFANTILES MASCULINO
2026;OESTE;51;INFANTILES MASCULINO
2026;SUR;50;INFANTILES MASCULINO
2026;CENTRO;44;JUVENILES MASCULINO
2026;NORTE;48;JUVENILES MASCULINO
2026;OESTE;51;JUVENILES MASCULINO
2026;SUR;50;JUVENILES MASCULINO
2026;CENTRO;44;LIGA PROXIMO MASCULINO
2026;NORTE;48;LIGA PROXIMO MASCULINO
2026;OESTE;51;LIGA PROXIMO MASCULINO
2026;SUR;50;LIGA PROXIMO MASCULINO
2026;CENTRO;44;MINI
2026;NORTE;48;MINI
2026;OESTE;51;MINI
2026;SUR;50;MINI
2026;CENTRO;44;PREMINI
2026;NORTE;48;PREMINI
2026;OESTE;51;PREMINI
2026;SUR;50;PREMINI
